,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,246.5,0.8695652173913043,246.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,48.0,0,20181102002627,21079^21078,2.8,0.2702702702702703
1,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,246.5,0.8695652173913043,246.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,48.0,1.0,20181102002646.0,11077.0,2.8,0.2702702702702703
2,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,246.5,0.8695652173913043,246.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,47.0,0.0,20181102002646.0,11077.0,2.8,0.2702702702702703
3,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,246.5,0.8695652173913043,246.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,47.0,1.0,20181102002648.0,11077.0,2.8,0.2702702702702703
4,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,246.5,0.8333333333333334,246.5,0.9090909090909091,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,38.0,1.0,20181102002657.0,11077.0,2.8,0.2702702702702703
5,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,245.5,0.8695652173913043,245.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,30.0,1.0,20181102002705.0,11077.0,2.8,0.2702702702702703
6,,,,2.0,7.5,0.8695652173913043,-7.5,0.8695652173913043,245.5,0.8333333333333334,245.5,0.9090909090909091,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,25.0,1.0,20181102002711.0,11094.0,2.8,0.2702702702702703
7,,,,2.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,244.5,0.8695652173913043,244.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,16.0,1.0,20181102002719.0,21077.0,2.5,0.30303030303030304
8,,,,2.0,6.5,0.9090909090909091,-6.5,0.8333333333333334,243.5,0.8695652173913043,243.5,0.8695652173913043,,,,,6.0,5.0,19.0,14.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,51,0,1,3.0,8.0,1.0,20181102002728.0,21077.0,2.5,0.30303030303030304
9,,,,2.0,6.5,0.8,-6.5,0.9523809523809523,245.5,0.8695652173913043,245.5,0.8695652173913043,,,^,,6.0,5.0,19.0,15.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,54,0,1,3.0,7.0,1.0,20181102002729.0,21074^11077,2.25,0.3448275862068966
10,,,,2.0,6.5,0.8,-6.5,0.9523809523809523,244.5,0.9090909090909091,244.5,0.8333333333333334,19.0,,,,6.0,5.0,19.0,15.0,5.0,8.0,5.0,4.0,3.0,1.0,83.3,72.7,61.0,54,0,1,2.0,58.0,1.0,20181102002737.0,11077.0,2.25,0.3448275862068966
