,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,0.0,0.0,0,20181103002016,21075^11077,0.3125,2.3
1,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,0.0,0.0,0,20181103002031.0,21075^11077,0.3125,2.3
2,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,0.0,0.0,0,20181103002238.0,21075^11077,0.3125,2.3
3,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,25.0,,^,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,0.0,0.0,1.0,20181103002238.0,01088^11077,0.3125,2.3
4,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,163.5,0.8333333333333334,163.5,0.8333333333333334,25.0,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,9.0,59.0,1.0,20181103002239.0,21077.0,0.3125,2.3
5,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,162.5,0.8695652173913043,162.5,0.8,25.0,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,9.0,57.0,1.0,20181103002240.0,21077.0,0.3125,2.3
6,,,,1.0,-6.5,0.8,6.5,0.8695652173913043,162.5,0.8333333333333334,162.5,0.8333333333333334,25.0,,,,2.0,3.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,22.0,0,1,9.0,49.0,1.0,20181103002249.0,21077.0,0.3125,2.3
7,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,25.0,,^,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,41.0,1.0,20181103002256.0,21075^11077,0.21052631578947367,3.25
8,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,165.5,0.8333333333333334,165.5,0.8333333333333334,25.0,,,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,40.0,1.0,20181103002257.0,11077.0,0.21052631578947367,3.25
9,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,164.5,0.8333333333333334,164.5,0.8333333333333334,25.0,,,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,31.0,1.0,20181103002305.0,11077.0,0.21052631578947367,3.25
10,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,163.5,0.8695652173913043,163.5,0.8,25.0,,,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,23.0,1.0,20181103002314.0,11077.0,0.21052631578947367,3.25
11,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,25.0,,,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,21.0,1.0,20181103002317.0,21077.0,0.2,3.3
12,,,,1.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,163.5,0.8333333333333334,163.5,0.8333333333333334,25.0,,,,2.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,60.0,62.5,19.0,25.0,0,1,9.0,20.0,1.0,20181103002317.0,21077.0,0.2,3.3
