,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,25.5,0.8695652173913043,-25.5,0.8,,,,7,9,,35,24,,23,12,,2,1,,3,7,,67.6,80.0,114,87,0,1,4.0,30.0,0,20181103040844,11079^11078
1,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,2:2^,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,30.0,0,20181103040907.0,11079^21077
2,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,30.0,1.0,20181103040907.0,21077.0
3,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,21.0,1.0,20181103040916.0,21077.0
4,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,13.0,1.0,20181103040924.0,21077.0
5,,,4.0,26.5,0.7692307692307693,-26.5,0.9090909090909091,,,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,12.0,1.0,20181103040925.0,21095.0
6,,,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,,,,7,9,,35,24,24.0,23,12,,2,1,,3,7,68.6,67.6,80.0,115,87,0,1,4.0,5.0,0.0,20181103040932.0,11077.0
7,,,4.0,27.5,0.7692307692307693,-27.5,0.9090909090909091,,^,,7,9,,35,24,24.0,23,12,,2,1,8.0,3,7,68.6,67.6,80.0,115,87,0,1,4.0,5.0,0.0,20181103040953.0,21086^11077
8,,,4.0,27.5,0.8695652173913043,-27.5,0.8,,1:2,,7,9,,35,24,24.0,23,12,,2,1,8.0,3,7,68.6,67.6,80.0,115,87,0,1,4.0,5.0,0.0,20181103040954.0,11078.0
9,,,4.0,27.5,0.9090909090909091,-27.5,0.7692307692307693,,1:2^2:2,,7,9,,35,24,25.0,23,12,,2,1,8.0,3,7,69.4,67.6,80.0,116,87,0,1,4.0,5.0,0.0,20181103040959.0,11079^11078
10,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,2:2^,,7,9,,35,24,26.0,23,12,,2,1,8.0,3,7,70.3,67.6,80.0,117,87,0,1,4.0,5.0,0.0,20181103041020.0,11079^21077
11,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,7,9,,35,24,26.0,23,12,,2,1,8.0,3,7,70.3,67.6,80.0,117,87,0,1,4.0,5.0,1.0,20181103041021.0,21077.0
12,,,4.0,28.5,0.7692307692307693,-28.5,0.9090909090909091,,,,7,9,,35,24,26.0,23,12,,2,1,8.0,3,7,70.3,67.6,80.0,117,87,0,1,4.0,4.0,0.0,20181103041021.0,21077.0
