,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,12.5,0.8695652173913043,-12.5,0.8695652173913043,206.5,0.8695652173913043,206.5,0.8695652173913043,,,,12,7.0,25.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,99,86,0,1,4.0,31.0,0,20181103040617,11081
1,,,4.0,12.5,0.8695652173913043,-12.5,0.8695652173913043,206.5,0.8695652173913043,206.5,0.8695652173913043,,,,12,7.0,25.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,99,86,0,1,4.0,31.0,0,20181103040900.0,11077.0
2,,,4.0,12.5,0.8695652173913043,-12.5,0.8695652173913043,206.5,0.8695652173913043,206.5,0.8695652173913043,,,,12,7.0,25.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,99,86,0,1,4.0,31.0,1.0,20181103040900.0,11077.0
3,,,4.0,12.5,0.8695652173913043,-12.5,0.8695652173913043,205.5,1.0,205.5,0.7692307692307693,,,,12,7.0,25.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,99,86,0,1,4.0,22.0,1.0,20181103040908.0,11077.0
4,,,4.0,13.5,0.8695652173913043,-13.5,0.8695652173913043,207.5,0.8,207.5,0.9523809523809523,10.0,^,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,4.0,15.0,1.0,20181103040915.0,11074^21077
5,,,4.0,13.5,0.8695652173913043,-13.5,0.8695652173913043,207.5,0.8,207.5,0.9523809523809523,10.0,,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,4.0,15.0,1.0,20181103040916.0,21077.0
6,,,4.0,13.5,0.8695652173913043,-13.5,0.8695652173913043,206.5,0.8695652173913043,206.5,0.8695652173913043,10.0,,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,4.0,6.0,1.0,20181103040924.0,21077.0
7,,,4.0,13.5,0.8695652173913043,-13.5,0.8695652173913043,205.5,1.0,205.5,0.7692307692307693,8.0,,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,3.0,59.0,1.0,20181103040931.0,21094.0
8,,,4.0,14.5,0.8695652173913043,-14.5,0.8695652173913043,205.5,1.0,205.5,0.7692307692307693,8.0,,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,3.0,59.0,1.0,20181103040931.0,11077.0
9,,,4.0,14.5,0.8695652173913043,-13.5,0.8695652173913043,204.5,0.9090909090909091,204.5,0.8333333333333334,8.0,,,12,7.0,26.0,30.0,13,5.0,2.0,1,3.0,1.0,61.9,55.6,101,86,0,1,3.0,42.0,1.0,20181103040948.0,21077.0
