,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-1.5,0.8695652173913043,1.5,0.8695652173913043,194.5,0.8333333333333334,194.5,0.9090909090909091,,,,,10.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,62,67,0,1,2.0,39.0,1,20181104004002,11077,0.7142857142857143,1.1
1,,,,3.0,-1.5,0.8695652173913043,1.5,0.8695652173913043,194.5,0.8333333333333334,194.5,0.9090909090909091,,,,,10.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,62,67,0,1,2.0,38.0,1,20181104004003.0,11077,0.6896551724137931,1.15
2,,,,3.0,-1.5,0.8695652173913043,1.5,0.8695652173913043,193.5,0.8695652173913043,193.5,0.8695652173913043,,,,,10.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,62,67,0,1,2.0,30.0,1,20181104004011.0,11077,0.6896551724137931,1.15
3,,,,3.0,1.5,0.7692307692307693,-1.5,1.0,196.5,0.8333333333333334,196.5,0.9090909090909091,,,^,,11.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,65,67,0,1,2.0,25.0,1,20181104004016.0,11075^21077,0.9523809523809523,0.8
4,,,,3.0,1.5,0.7692307692307693,-1.5,1.0,196.5,0.8333333333333334,196.5,0.9090909090909091,,,,,11.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,65,67,0,1,2.0,25.0,1,20181104004017.0,21077.0,0.9523809523809523,0.8
5,,,,3.0,1.5,0.7692307692307693,-1.5,1.0,195.5,0.8695652173913043,195.5,0.8695652173913043,,,,,11.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,65,67,0,1,2.0,16.0,1,20181104004025.0,21077.0,0.9523809523809523,0.8
6,,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,195.5,0.8333333333333334,195.5,0.9090909090909091,,,,,11.0,6.0,14.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,65,67,0,1,2.0,11.0,1,20181104004030.0,11077.0,1.2,0.6666666666666666
7,,,,3.0,2.5,0.8,-2.5,0.9523809523809523,196.5,0.8695652173913043,196.5,0.8695652173913043,,,^,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,2.0,4.0,1,20181104004037.0,11074^21077,1.3,0.625
8,,,,3.0,1.5,0.9523809523809523,-1.5,0.8,195.5,0.9090909090909091,195.5,0.8333333333333334,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,55.0,1,20181104004045.0,21077.0,1.3,0.625
9,,,,3.0,1.5,0.9523809523809523,-1.5,0.8,195.5,0.8695652173913043,195.5,0.8695652173913043,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,47.0,1,20181104004054.0,21077.0,1.3,0.625
10,,,,3.0,1.5,0.9523809523809523,-1.5,0.8,194.5,0.9090909090909091,194.5,0.8333333333333334,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,41.0,1,20181104004100.0,21095.0,1.3,0.625
11,,,,3.0,2.5,0.9090909090909091,-2.5,0.8333333333333334,194.5,0.9090909090909091,194.5,0.8333333333333334,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,41.0,1,20181104004101.0,11077.0,1.55,0.5405405405405406
12,,,,3.0,2.5,0.9090909090909091,-2.5,0.8333333333333334,194.5,0.8333333333333334,194.5,0.9090909090909091,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,32.0,1,20181104004109.0,11077.0,1.55,0.5405405405405406
13,,,,3.0,2.5,0.9090909090909091,-2.5,0.8333333333333334,193.5,0.8695652173913043,193.5,0.8695652173913043,21.0,,,,11.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,67,67,0,1,1.0,24.0,1,20181104004118.0,11077.0,1.55,0.5405405405405406
14,,,,3.0,3.5,0.9523809523809523,-3.5,0.8,196.5,0.8333333333333334,196.5,0.9090909090909091,21.0,,^,,12.0,6.0,15.0,17.0,4.0,15.0,2.0,5.0,2.0,1.0,80.0,71.4,70,67,0,1,1.0,19.0,1,20181104004122.0,11075^21077,2.0,0.40816326530612246
