,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,218.5,0.8695652173913043,218.5,0.8695652173913043,,,,,8.0,6.0,20.0,32.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,91.0,0,1,0.0,2.0,0,20181104004000,21077,0.005,20.0
1,,,,3.0,-18.5,0.9090909090909091,18.5,0.8333333333333334,218.5,0.8695652173913043,218.5,0.8695652173913043,,,,,8.0,6.0,20.0,32.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,91.0,0,1,0.0,0.0,0,20181104004026.0,21077,0.005,20.0
2,,,,3.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,218.5,0.9090909090909091,218.5,0.8333333333333334,,,,,8.0,6.0,20.0,32.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,91.0,0,1,0.0,4.0,1.0,20181104004057.0,21077,0.005,20.0
3,,,,3.0,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,20.0,,^,,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,93.0,0,1,0.0,0.0,1.0,20181104004102.0,21074^11077,0.005,20.0
4,,,,3.0,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,20.0,,,,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,93.0,0,1,0.0,0.0,0.0,20181104004103.0,11077.0,0.005,20.0
5,,,,3.0,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,20.0,,,,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,93.0,0,1,0.0,0.0,0.0,20181104004105.0,11077.0,0.005,20.0
6,,,,3.0,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,20.0,,,,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,2.0,2.0,100.0,90.0,73,93.0,0,1,0.0,0.0,0.0,20181104004126.0,11077.0,0.005,20.0
7,,,Q4,4th Quarter,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,21.0,4.0,3.0,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,12.0,0.0,0.0,20181104004127.0,1082.0,0.005,20.0
8,,,Q4,4th Quarter,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8695652173913043,220.5,0.8695652173913043,15.0,4.0,^,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,12.0,0.0,1.0,20181104004127.0,01090^11077,0.005,20.0
9,,,Q4,4th Quarter,-19.5,0.8,19.5,0.9523809523809523,220.5,0.8333333333333334,220.5,0.9090909090909091,15.0,4.0,,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,11.0,59.0,1.0,20181104004355.0,21077.0,0.005,20.0
10,,,Q4,4th Quarter,-19.5,0.8,19.5,0.9523809523809523,219.5,0.9090909090909091,219.5,0.8333333333333334,15.0,4.0,,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,11.0,50.0,1.0,20181104004403.0,21077.0,0.005,20.0
11,,,Q4,4th Quarter,-19.5,0.8333333333333334,19.5,0.9090909090909091,219.5,0.9090909090909091,219.5,0.8333333333333334,15.0,4.0,,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,11.0,46.0,1.0,20181104004403.0,21077.0,0.005,20.0
12,,,Q4,4th Quarter,-19.5,0.8333333333333334,19.5,0.9090909090909091,218.5,0.8695652173913043,218.5,0.8695652173913043,15.0,4.0,,0.0,8.0,6.0,20.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,73,93.0,0,1,11.0,37.0,1.0,20181104004416.0,11077.0,0.005,20.0
13,,,Q4,4th Quarter,-18.5,0.9090909090909091,18.5,0.8333333333333334,220.5,0.8,220.5,0.9523809523809523,16.0,4.0,^,0.0,8.0,6.0,21.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,11.0,30.0,1.0,20181104004425.0,11074^21077,0.005,20.0
14,,,Q4,4th Quarter,-18.5,0.9090909090909091,18.5,0.8333333333333334,220.5,0.8,220.5,0.9523809523809523,16.0,4.0,,0.0,8.0,6.0,21.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,11.0,29.0,1.0,20181104004425.0,21077.0,0.005,20.0
15,,,Q4,4th Quarter,-18.5,0.9523809523809523,18.5,0.8,219.5,0.8333333333333334,219.5,0.9090909090909091,16.0,4.0,,0.0,8.0,6.0,21.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,11.0,21.0,1.0,20181104004434.0,21077.0,0.005,20.0
16,,,Q4,4th Quarter,-18.5,0.9523809523809523,18.5,0.8,218.5,0.8695652173913043,218.5,0.8695652173913043,16.0,4.0,,0.0,8.0,6.0,21.0,33.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,11.0,12.0,1.0,20181104004442.0,21077.0,0.005,20.0
17,,,Q4,4th Quarter,-18.5,0.9523809523809523,18.5,0.8,218.5,0.8695652173913043,218.5,0.8695652173913043,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,11.0,12.0,1.0,20181104004442.0,11077.0,0.005,20.0
18,,,Q4,4th Quarter,-18.5,0.9523809523809523,18.5,0.8,218.5,0.8333333333333334,218.5,0.9090909090909091,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,59.0,1.0,20181104004455.0,11077.0,0.005,20.0
19,,,Q4,4th Quarter,-18.5,0.9090909090909091,18.5,0.8333333333333334,218.5,0.8695652173913043,218.5,0.8695652173913043,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,51.0,1.0,20181104004503.0,11077.0,0.005,20.0
20,,,Q4,4th Quarter,-18.5,0.9090909090909091,18.5,0.8333333333333334,217.5,0.9523809523809523,217.5,0.8,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,44.0,1.0,20181104004510.0,11095.0,0.005,20.0
21,,,Q4,4th Quarter,-18.5,0.8333333333333334,18.5,0.9090909090909091,217.5,0.9523809523809523,217.5,0.8,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,44.0,1.0,20181104004511.0,21077.0,0.005,20.0
22,,,Q4,4th Quarter,-18.5,0.8695652173913043,18.5,0.8695652173913043,217.5,0.8333333333333334,217.5,0.9090909090909091,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,35.0,1.0,20181104004519.0,21077.0,0.005,20.0
23,,,Q4,4th Quarter,-18.5,0.8695652173913043,18.5,0.8695652173913043,216.5,0.9090909090909091,216.5,0.8333333333333334,16.0,4.0,,0.0,8.0,6.0,21.0,34.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,93.0,0,1,10.0,27.0,1.0,20181104004528.0,21077.0,0.005,20.0
24,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8695652173913043,218.5,0.8,218.5,0.9523809523809523,16.0,4.0,^,0.0,8.0,6.0,21.0,35.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,97.0,0,1,10.0,24.0,1.0,20181104004531.0,21074^11077,0.005,20.0
25,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,16.0,4.0,^,0.0,8.0,6.0,21.0,35.0,9.0,9.0,3.0,4.0,0.0,0.0,100.0,90.0,75,97.0,0,1,10.0,22.0,0.0,20181104004532.0,11086^21077,0.005,20.0
26,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,16.0,4.0,1:1,0.0,8.0,6.0,21.0,35.0,9.0,10.0,3.0,4.0,0.0,0.0,100.0,90.9,75,97.0,0,1,10.0,22.0,0.0,20181104004532.0,21078.0,0.005,20.0
27,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,16.0,4.0,,0.0,8.0,6.0,21.0,35.0,9.0,10.0,3.0,4.0,0.0,0.0,100.0,90.9,75,97.0,0,1,10.0,22.0,0.0,20181104004601.0,11077.0,0.005,20.0
28,,,Q4,4th Quarter,-20.5,0.8695652173913043,20.5,0.8695652173913043,218.5,0.9090909090909091,218.5,0.8333333333333334,16.0,4.0,,0.0,8.0,6.0,21.0,35.0,9.0,10.0,3.0,4.0,0.0,0.0,100.0,90.9,75,97.0,0,1,10.0,22.0,1.0,20181104004605.0,11077.0,0.005,20.0
