,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,197.5,0.8333333333333334,197.5,0.8333333333333334,,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,12.0,0.0,0,20181104003755,01082,0.625,1.2
1,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,197.5,0.8333333333333334,197.5,0.8333333333333334,,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,12.0,0.0,0,20181104004046.0,01082,0.625,1.2
2,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,197.5,0.8333333333333334,197.5,0.8333333333333334,17.0,^,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,12.0,0.0,1.0,20181104004046.0,01090^21077,0.625,1.2
3,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,197.5,0.8333333333333334,197.5,0.8333333333333334,17.0,^,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,59.0,1.0,20181104004046.0,01090^21077,0.625,1.2
4,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,197.5,0.8,197.5,0.8695652173913043,17.0,^,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,51.0,1.0,20181104004055.0,01090^21077,0.625,1.2
5,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,196.5,0.8695652173913043,196.5,0.8,17.0,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,48.0,1.0,20181104004058.0,21094.0,0.625,1.2
6,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,196.5,0.8,196.5,0.8695652173913043,17.0,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,39.0,1.0,20181104004107.0,11077.0,0.625,1.2
7,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,195.5,0.8333333333333334,195.5,0.8333333333333334,17.0,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,31.0,1.0,20181104004115.0,11077.0,0.625,1.2
8,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,195.5,0.8333333333333334,195.5,0.8333333333333334,17.0,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,31.0,0.0,20181104004116.0,11077.0,0.625,1.2
9,,,4.0,-1.5,0.9090909090909091,1.5,0.7692307692307693,195.5,0.8333333333333334,195.5,0.8333333333333334,17.0,,,5.0,7.0,24.0,22.0,9.0,8.0,3.0,3.0,0.0,0.0,50.0,72.7,72.0,73,0,1,11.0,31.0,0.0,20181104004119.0,11095.0,0.625,1.2
