,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-1.5,1.0,1.5,0.7692307692307693,253.5,0.9090909090909091,253.5,0.8333333333333334,,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,12.0,0.0,0,20181104003857,01083,0.8,0.9523809523809523
1,,,3.0,-1.5,1.0,1.5,0.7692307692307693,253.5,0.9090909090909091,253.5,0.8333333333333334,,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,12.0,0.0,0,20181104005410.0,01083,0.8,0.9523809523809523
2,,,3.0,-1.5,1.0,1.5,0.7692307692307693,253.5,0.9090909090909091,253.5,0.8333333333333334,26.0,^,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,12.0,0.0,1.0,20181104005414.0,01089^21077,0.8,0.9523809523809523
3,,,3.0,-1.5,1.0,1.5,0.7692307692307693,253.5,0.8695652173913043,253.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,51.0,1.0,20181104005423.0,11077.0,0.8,0.9523809523809523
4,,,3.0,-1.5,1.0,1.5,0.7692307692307693,252.5,0.9090909090909091,252.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,43.0,1.0,20181104005431.0,11077.0,0.8,0.9523809523809523
5,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.9090909090909091,251.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,33.0,1.0,20181104005434.0,11077.0,0.8,0.9523809523809523
6,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8695652173913043,251.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,25.0,1.0,20181104005441.0,11077.0,0.8,0.9523809523809523
7,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8695652173913043,251.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,24.0,1.0,20181104005442.0,11077.0,0.8,0.9523809523809523
8,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8695652173913043,251.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,23.0,1.0,20181104005443.0,11077.0,0.8,0.9523809523809523
9,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8695652173913043,251.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,23.0,1.0,20181104005444.0,11077.0,0.8,0.9523809523809523
10,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8695652173913043,251.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,22.0,1.0,20181104005444.0,11077.0,0.8,0.9523809523809523
11,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8333333333333334,251.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,21.0,1.0,20181104005445.0,11077.0,0.8,0.9523809523809523
12,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8333333333333334,251.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,20.0,1.0,20181104005446.0,11077.0,0.8,0.9523809523809523
13,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8333333333333334,251.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,19.0,1.0,20181104005447.0,11077.0,0.8,0.9523809523809523
14,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8333333333333334,251.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,19.0,1.0,20181104005448.0,11077.0,0.8,0.9523809523809523
15,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.9090909090909091,250.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,18.0,1.0,20181104005448.0,11077.0,0.8,0.9523809523809523
16,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.9090909090909091,250.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,17.0,1.0,20181104005449.0,11077.0,0.8,0.9523809523809523
17,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.9090909090909091,250.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,16.0,1.0,20181104005450.0,11077.0,0.8,0.9523809523809523
18,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.9090909090909091,250.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,16.0,1.0,20181104005451.0,11077.0,0.8,0.9523809523809523
19,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.9090909090909091,250.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,15.0,1.0,20181104005451.0,11077.0,0.8,0.9523809523809523
20,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,14.0,1.0,20181104005452.0,11077.0,0.8,0.9523809523809523
21,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,13.0,1.0,20181104005453.0,11077.0,0.8,0.9523809523809523
22,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,13.0,1.0,20181104005454.0,11077.0,0.8,0.9523809523809523
23,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,12.0,1.0,20181104005454.0,11077.0,0.8,0.9523809523809523
24,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,11.0,1.0,20181104005455.0,11077.0,0.8,0.9523809523809523
25,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,10.0,1.0,20181104005456.0,11077.0,0.8,0.9523809523809523
26,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,9.0,1.0,20181104005457.0,11077.0,0.8,0.9523809523809523
27,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,8.0,1.0,20181104005458.0,11077.0,0.8,0.9523809523809523
28,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,7.0,1.0,20181104005459.0,11077.0,0.8,0.9523809523809523
29,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,6.0,1.0,20181104005500.0,11077.0,0.8,0.9523809523809523
30,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,6.0,1.0,20181104005501.0,11077.0,0.8,0.9523809523809523
31,,,3.0,-1.5,1.0,1.5,0.7692307692307693,252.5,0.9090909090909091,252.5,0.8333333333333334,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,44.0,0.0,20181104005501.0,11095.0,0.8,0.9523809523809523
32,,,3.0,-1.5,1.0,1.5,0.7692307692307693,251.5,0.8333333333333334,251.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,20.0,1.0,20181104005501.0,11077.0,0.8,0.9523809523809523
33,,,3.0,-1.5,0.9090909090909091,1.5,0.8333333333333334,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,15.0,0.0,20181104005502.0,21077.0,0.7692307692307693,1.0
34,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,15.0,0.0,20181104005508.0,11077.0,0.8,0.9523809523809523
35,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8695652173913043,250.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,15.0,1.0,20181104005509.0,11077.0,0.8,0.9523809523809523
36,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,6.0,1.0,20181104005517.0,11077.0,0.8,0.9523809523809523
37,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,0.0,78.6,81.8,68,74.0,0,1,11.0,6.0,0.0,20181104005518.0,11077.0,0.8,0.9523809523809523
38,,,3.0,-1.5,1.0,1.5,0.7692307692307693,250.5,0.8333333333333334,250.5,0.9090909090909091,26.0,^,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,1.0,78.6,81.8,68,74.0,0,1,11.0,6.0,0.0,20181104005521.0,21086^11077,0.8,0.9523809523809523
39,,,3.0,1.5,0.8,-1.5,0.9523809523809523,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,1:3,,9.0,10.0,15.0,17.0,11.0,9.0,5.0,2.0,0.0,1.0,78.6,81.8,68,74.0,0,1,11.0,6.0,0.0,20181104005525.0,11078.0,0.9523809523809523,0.8
40,,,3.0,1.5,0.8,-1.5,0.9523809523809523,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,1:3^2:3,,9.0,10.0,15.0,17.0,12.0,9.0,5.0,2.0,0.0,1.0,80.0,81.8,69,74.0,0,1,11.0,6.0,0.0,20181104005616.0,11079^11078,1.0,0.7692307692307693
41,,,3.0,1.5,0.8333333333333334,-1.5,0.9090909090909091,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,2:3^3:3,,9.0,10.0,15.0,17.0,13.0,9.0,5.0,2.0,0.0,1.0,81.2,81.8,70,74.0,0,1,11.0,6.0,0.0,20181104005631.0,11079^11078,1.0,0.7692307692307693
42,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,3:3^,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,0.0,1.0,82.4,81.8,71,74.0,0,1,11.0,6.0,0.0,20181104005646.0,11079^21077,1.05,0.7407407407407407
43,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,0.0,1.0,82.4,81.8,71,74.0,0,1,11.0,5.0,0.0,20181104005646.0,21077.0,1.05,0.7407407407407407
44,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,^,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,1.0,1.0,82.4,81.8,71,74.0,0,1,11.0,5.0,0.0,20181104005700.0,11086^21077,1.05,0.7407407407407407
45,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,^,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,1.0,1.0,82.4,81.8,71,74.0,0,1,11.0,5.0,1.0,20181104005714.0,11086^21077,1.05,0.7407407407407407
46,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,^,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,1.0,1.0,82.4,81.8,71,76.0,0,1,11.0,5.0,0.0,20181104005723.0,11086^21077,1.05,0.7407407407407407
47,,,3.0,1.5,0.8695652173913043,-1.5,0.8695652173913043,252.5,0.8695652173913043,252.5,0.8695652173913043,26.0,^,,9.0,10.0,15.0,17.0,14.0,9.0,5.0,2.0,1.0,1.0,82.4,81.8,71,76.0,0,1,11.0,5.0,0.0,20181104005723.0,11086^21077,1.05,0.7407407407407407
