,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,27.5,0.0,-27.5,0.0,,,,6,4,,22,13,,11,13,4,4,,5,2,,47.8,43.3,,76,49,0,1,2.0,57.0,0,20181104025337,11077
1,4.0,27.5,0.0,-27.5,0.0,,^,,6,4,,22,13,,11,13,4,4,3.0,5,2,,47.8,43.3,,76,49,0,1,2.0,57.0,0,20181104025345.0,21086^11077
2,4.0,28.5,0.0,-28.5,0.0,,1:2,,6,4,,22,13,,11,13,4,4,3.0,5,2,,47.8,43.3,,76,49,0,1,2.0,57.0,0,20181104025347.0,11078.0
3,4.0,27.5,0.0,-27.5,0.0,,1:2^2:2,,6,4,,22,13,,11,13,4,4,3.0,5,2,45.8,47.8,43.3,,76,49,0,1,2.0,57.0,0,20181104025414.0,11080^11078
4,4.0,27.5,0.0,-27.5,0.0,,2:2^,,6,4,,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,77,49,0,1,2.0,57.0,0,20181104025429.0,11079^21077
5,4.0,27.5,0.0,-27.5,0.0,,2:2^,,6,4,,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,77,49,0,1,2.0,57.0,1.0,20181104025430.0,11079^21077
6,4.0,27.5,0.0,-27.5,0.0,,2:2^,,6,4,,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,77,49,0,1,2.0,56.0,1.0,20181104025431.0,11079^21077
7,4.0,27.5,0.0,-27.5,0.0,,,,6,4,,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,77,49,0,1,2.0,55.0,1.0,20181104025433.0,21077.0
8,4.0,28.5,0.0,-28.5,0.0,,,,6,4,,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,77,49,0,1,2.0,46.0,1.0,20181104025441.0,11077.0
9,4.0,29.5,0.0,-29.5,0.0,,^,,6,4,23.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,49,0,1,2.0,41.0,1.0,20181104025446.0,11074^21077
10,4.0,29.5,0.0,-29.5,0.0,,,,6,4,23.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,49,0,1,2.0,40.0,1.0,20181104025448.0,21077.0
11,4.0,28.5,0.0,-28.5,0.0,,^,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,31.0,1.0,20181104025456.0,21074^11077
12,4.0,28.5,0.0,-28.5,0.0,,^,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,22.0,1.0,20181104025504.0,21074^11077
13,4.0,28.5,0.0,-28.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,22.0,1.0,20181104025505.0,11077.0
14,4.0,28.5,0.0,-28.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,13.0,1.0,20181104025514.0,11077.0
15,4.0,27.5,0.0,-27.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,7.0,1.0,20181104025520.0,21077.0
16,4.0,27.5,0.0,-27.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,6.0,0.0,20181104025521.0,21077.0
17,4.0,27.5,0.0,-27.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,7.0,0.0,20181104025532.0,21077.0
18,4.0,27.5,0.0,-27.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,7.0,0.0,20181104025533.0,21077.0
19,4.0,27.5,0.0,-27.5,0.0,,1:2,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,48.0,47.8,43.3,,79,51,0,1,2.0,7.0,0.0,20181104025537.0,21078.0
20,4.0,28.5,0.0,-28.5,0.0,,1:2^2:2,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,41.9,47.8,43.3,,79,51,0,1,2.0,7.0,0.0,20181104025551.0,21080^21078
21,4.0,28.5,0.0,-28.5,0.0,,2:2^,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,79,51,0,1,2.0,7.0,1.0,20181104025602.0,21080^11077
22,4.0,28.5,0.0,-28.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,79,51,0,1,2.0,7.0,1.0,20181104025604.0,11077.0
23,4.0,28.5,0.0,-28.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,79,51,0,1,2.0,6.0,1.0,20181104025604.0,11077.0
24,4.0,28.5,0.0,-28.5,0.0,,,,6,4,14.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,79,51,0,1,2.0,2.0,1.0,20181104025610.0,11077.0
25,4.0,29.5,0.0,-29.5,0.0,,^,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,2.0,1.0,1.0,20181104025611.0,11074^21077
26,4.0,29.5,0.0,-29.5,0.0,1.0,,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,59.0,1.0,20181104025612.0,21077.0
27,4.0,29.5,0.0,-29.5,0.0,1.0,,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,50.0,1.0,20181104025620.0,21077.0
28,4.0,30.5,0.0,-30.5,0.0,1.0,,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,51.0,1.0,20181104025621.0,11077.0
29,4.0,29.5,0.0,-29.5,0.0,1.0,,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,50.0,1.0,20181104025621.0,21077.0
30,4.0,29.5,0.0,-29.5,0.0,1.0,,,6,4,24.0,22,13,12.0,11,13,4,4,3.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,41.0,0.0,20181104025630.0,21077.0
31,4.0,29.5,0.0,-29.5,0.0,1.0,^,,6,4,24.0,22,13,12.0,11,13,4,4,7.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,42.0,0.0,20181104025634.0,11086^21077
32,4.0,29.5,0.0,-29.5,0.0,1.0,^,,6,4,24.0,22,13,12.0,11,13,4,4,7.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,42.0,0.0,20181104025635.0,11086^21077
33,4.0,29.5,0.0,-29.5,0.0,1.0,1:2,,6,4,24.0,22,13,12.0,11,13,4,4,7.0,5,2,40.6,47.8,43.3,,81,51,0,1,1.0,42.0,0.0,20181104025641.0,21078.0
34,4.0,30.5,0.0,-30.5,0.0,1.0,1:2^2:2,,6,4,24.0,22,13,12.0,11,13,4,4,7.0,5,2,39.4,47.8,43.3,,81,51,0,1,1.0,42.0,0.0,20181104025707.0,21080^21078
