,ED,PG,S1_a,S1_h,S2,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,8,5,,29,19,6,14,4,2,6,3,46.2,58.3,88,67,0,1,1.0,52.0,1,20181105125344,11074^21077
1,,,8,5,,29,19,6,14,4,2,6,3,46.2,58.3,88,67,0,1,1.0,52.0,1,20181105125345.0,21077.0
2,,,8,5,,29,19,6,14,4,2,6,3,46.2,58.3,88,67,0,1,1.0,43.0,1,20181105125353.0,21077.0
3,,^,8,5,20.0,29,19,6,14,4,2,6,3,46.2,58.3,88,69,0,1,1.0,36.0,1,20181105125400.0,21074^11077
4,,,8,5,20.0,29,19,6,14,4,2,6,3,46.2,58.3,88,69,0,1,1.0,27.0,1,20181105125409.0,11077.0
5,,,8,5,20.0,29,19,6,14,4,2,6,3,46.2,58.3,88,69,0,1,1.0,18.0,1,20181105125417.0,11077.0
6,,,8,5,20.0,29,19,6,14,4,2,6,3,46.2,58.3,88,69,0,1,1.0,15.0,1,20181105125420.0,21077.0
7,,,8,5,20.0,29,19,6,14,4,2,6,3,46.2,58.3,88,69,0,1,1.0,6.0,1,20181105125429.0,21077.0
8,,^,8,5,21.0,29,19,6,14,4,2,6,3,46.2,58.3,88,71,0,1,1.0,4.0,1,20181105125432.0,21074^11077
9,,,8,5,21.0,29,19,6,14,4,2,6,3,46.2,58.3,88,71,0,1,0.0,55.0,1,20181105125441.0,11077.0
10,,,8,5,21.0,29,19,6,14,4,2,6,3,46.2,58.3,88,71,0,1,0.0,49.0,1,20181105125447.0,21077.0
11,,^,8,5,22.0,29,19,6,14,4,2,6,3,46.2,58.3,88,73,0,1,0.0,41.0,1,20181105125455.0,21074^11077
12,,,8,5,22.0,29,19,6,14,4,2,6,3,46.2,58.3,88,73,0,1,0.0,40.0,1,20181105125456.0,11077.0
13,,,8,5,22.0,29,19,6,14,4,2,6,3,46.2,58.3,88,73,0,1,0.0,31.0,1,20181105125504.0,11077.0
14,,,8,5,22.0,29,19,6,14,4,2,6,3,46.2,58.3,88,73,0,1,0.0,23.0,1,20181105125513.0,11077.0
15,,^,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,19.0,1,20181105125517.0,11074^21077
16,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,17.0,1,20181105125520.0,21077.0
17,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,19.0,1,20181105125521.0,21077.0
18,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,14.0,1,20181105125529.0,21077.0
19,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,9.0,1,20181105125534.0,11077.0
20,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,0.0,1,20181105125543.0,11077.0
21,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,0.0,0.0,20181105125545.0,11077.0
22,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,0.0,0.0,20181105125548.0,11077.0
23,,,8,5,30.0,29,19,6,14,4,2,6,3,46.2,58.3,90,73,0,1,0.0,0.0,0.0,20181105125548.0,1084.0
