,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,6.5,0.0,-6.5,0.0,,,4,3,,20,16,,6,11,,3,3,,4,5,,37.5,84.6,,59,53,0,1,1.0,23.0,1,20181105123613,11077
1,,,4.0,5.5,0.0,-5.5,0.0,,,4,3,,20,16,,6,11,,3,3,,4,5,,37.5,84.6,,59,53,0,1,1.0,18.0,1,20181105123619.0,21077.0
2,,,4.0,5.5,0.0,-5.5,0.0,,,4,3,,20,16,,6,11,,3,3,,4,5,,37.5,84.6,,59,53,0,1,1.0,18.0,1,20181105123620.0,21077.0
3,,,4.0,5.5,0.0,-5.5,0.0,,,4,3,,20,16,,6,11,,3,3,,4,5,,37.5,84.6,,59,53,0,1,1.0,12.0,0.0,20181105123624.0,21077.0
4,,,4.0,5.5,0.0,-5.5,0.0,,,4,3,,20,16,,6,11,,3,3,5.0,4,5,,37.5,84.6,,59,53,0,1,1.0,12.0,0.0,20181105123626.0,11086.0
5,,,4.0,5.5,0.0,-5.5,0.0,,,4,3,,20,16,,6,11,,3,3,5.0,4,5,,37.5,84.6,,59,53,0,1,1.0,12.0,0.0,20181105123627.0,21077.0
6,,,4.0,5.5,0.0,-5.5,0.0,,1:2,4,3,,20,16,,6,11,,3,3,5.0,4,5,,37.5,84.6,,59,53,0,1,1.0,12.0,0.0,20181105123629.0,21078.0
7,,,4.0,5.5,0.0,-5.5,0.0,,1:2^2:2,4,3,,20,16,12.0,6,11,,3,3,5.0,4,5,85.7,37.5,84.6,54.0,59,54,0,1,1.0,12.0,0.0,20181105123646.0,21079^21078
8,,,4.0,4.5,0.0,-4.5,0.0,,2:2^,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,1.0,12.0,0.0,20181105123705.0,21079^11077
9,,,4.0,4.5,0.0,-4.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,1.0,12.0,0.0,20181105123706.0,11077.0
10,,,4.0,4.5,0.0,-4.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,1.0,12.0,1.0,20181105123710.0,11077.0
11,,,4.0,4.5,0.0,-4.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,1.0,3.0,1.0,20181105123718.0,11077.0
12,,,4.0,4.5,0.0,-4.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,0.0,55.0,1.0,20181105123726.0,11077.0
13,,,4.0,4.5,0.0,-4.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,0.0,50.0,1.0,20181105123732.0,11094.0
14,,,4.0,3.5,0.0,-3.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,0.0,47.0,1.0,20181105123735.0,21077.0
15,,,4.0,3.5,0.0,-3.5,0.0,,,4,3,,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,55,0,1,0.0,44.0,0.0,20181105123738.0,21077.0
16,,,4.0,2.5,0.0,-2.5,0.0,,^,4,3,17.0,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,57,0,1,0.0,44.0,0.0,20181105123739.0,21074^11077
17,,,4.0,2.5,0.0,-2.5,0.0,,,4,3,17.0,20,16,13.0,6,11,,3,3,5.0,4,5,86.7,37.5,84.6,54.0,59,57,0,1,0.0,44.0,0.0,20181105123740.0,11077.0
18,,,4.0,2.5,0.0,-2.5,0.0,,,4,3,17.0,20,16,13.0,6,11,,3,3,6.0,4,5,86.7,37.5,84.6,54.0,59,57,0,1,0.0,44.0,0.0,20181105123748.0,11086.0
19,,,4.0,2.5,0.0,-2.5,0.0,,1:2,4,3,17.0,20,16,13.0,6,11,,3,3,6.0,4,5,86.7,37.5,84.6,54.0,59,57,0,1,0.0,44.0,0.0,20181105123748.0,21077.0
20,,,4.0,2.5,0.0,-2.5,0.0,,1:2^2:2,4,3,17.0,20,16,14.0,6,11,,3,3,6.0,4,5,87.5,37.5,84.6,54.0,59,58,0,1,0.0,44.0,0.0,20181105123807.0,21079^21078
21,,,4.0,2.5,0.0,-2.5,0.0,,1:2^2:2,4,3,17.0,20,16,14.0,6,11,,3,3,6.0,4,5,87.5,37.5,84.6,54.0,59,57,0,1,0.0,44.0,0.0,20181105123807.0,21079^21078
22,,,4.0,2.5,0.0,-2.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,44.0,0.0,20181105123814.0,11077.0
23,,,4.0,2.5,0.0,-2.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,44.0,1.0,20181105123833.0,11077.0
24,,,4.0,1.5,0.0,-1.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,35.0,1.0,20181105123841.0,11077.0
25,,,4.0,1.5,0.0,-1.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,34.0,0.0,20181105123842.0,11077.0
26,,,4.0,1.5,0.0,-1.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,34.0,1.0,20181105123843.0,11077.0
27,,,4.0,1.5,0.0,-1.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,32.0,0.0,20181105123846.0,11077.0
28,,,4.0,1.5,0.0,-1.5,0.0,,,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,32.0,0.0,20181105123846.0,11077.0
29,,,4.0,2.5,0.0,-2.5,0.0,,1:2,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,88.2,37.5,84.6,54.0,59,58,0,1,0.0,32.0,0.0,20181105123854.0,11078.0
30,,,4.0,1.5,0.0,-1.5,0.0,,1:2^2:2,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,35.3,37.5,84.6,54.0,59,58,0,1,0.0,32.0,0.0,20181105123905.0,11080^11078
31,,,4.0,1.5,0.0,-1.5,0.0,,2:2^,4,3,17.0,20,16,15.0,6,11,,3,3,6.0,4,5,33.3,37.5,84.6,54.0,59,58,0,1,0.0,32.0,1.0,20181105123920.0,11080^21077
