,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,14.5,0.8695652173913043,-14.5,0.8,123.5,0.8695652173913043,123.5,0.8,,,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,10,0,1,10.0,0.0,0,20181106142604,01082,7.0,0.0625
1,,,2.0,14.5,0.8695652173913043,-14.5,0.8,123.5,0.8695652173913043,123.5,0.8,,,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,10,0,1,10.0,0.0,0,20181106142736.0,01082,7.0,0.0625
2,,,2.0,14.5,0.8,-14.5,0.8695652173913043,125.5,0.8333333333333334,125.5,0.8333333333333334,,,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,11,0,1,10.0,0.0,0,20181106142736.0,01082,6.5,0.07142857142857142
3,,,2.0,14.5,0.8,-14.5,0.8695652173913043,125.5,0.8333333333333334,125.5,0.8333333333333334,,,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,11,0,1,10.0,0.0,0,20181106142816.0,01082,6.5,0.07142857142857142
4,,,2.0,14.5,0.8,-14.5,0.8695652173913043,125.5,0.8333333333333334,125.5,0.8333333333333334,,^,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,11,0,1,10.0,0.0,1.0,20181106142816.0,01088^11077,6.5,0.07142857142857142
5,,,2.0,14.5,0.8,-14.5,0.8695652173913043,124.5,0.8333333333333334,124.5,0.8333333333333334,,^,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,0.0,0.0,60.0,0.0,15.0,11,0,1,9.0,51.0,1.0,20181106142824.0,01088^11077,6.5,0.07142857142857142
6,,,2.0,13.5,0.8695652173913043,-13.5,0.8,124.5,0.8333333333333334,124.5,0.8333333333333334,,^,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,1.0,0.0,60.0,0.0,15.0,11,0,1,9.0,46.0,0.0,20181106142829.0,11086^21077,6.5,0.07142857142857142
7,,,2.0,13.5,0.8695652173913043,-13.5,0.8,124.5,0.8333333333333334,124.5,0.8333333333333334,,^,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,1.0,0.0,60.0,0.0,15.0,11,0,1,9.0,46.0,0.0,20181106142830.0,11086^21077,6.5,0.07142857142857142
8,,,2.0,12.5,0.8695652173913043,-12.5,0.8,125.5,0.8333333333333334,125.5,0.8333333333333334,,1:2,,0.0,0.0,6.0,5.0,3.0,0.0,4,4.0,1.0,0.0,60.0,0.0,15.0,11,0,1,9.0,47.0,0.0,20181106142830.0,21078.0,5.5,0.1
9,,,2.0,12.5,0.8333333333333334,-12.5,0.8333333333333334,126.5,0.8333333333333334,126.5,0.8333333333333334,,1:2^2:2,,0.0,0.0,6.0,5.0,3.0,1.0,4,4.0,1.0,0.0,60.0,100.0,15.0,12,0,1,9.0,47.0,0.0,20181106142833.0,21079^21078,5.5,0.1
