,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,18.5,0.8695652173913043,-18.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,43.0,0,20181106004440,21077,16.0,0.005
1,,,3.0,18.5,0.8695652173913043,-18.5,0.8,179.5,0.8333333333333334,179.5,0.8333333333333334,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,43.0,1.0,20181106004446.0,21077,16.0,0.005
2,,,3.0,18.5,0.8695652173913043,-18.5,0.8,178.5,0.9090909090909091,178.5,0.7692307692307693,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,34.0,1.0,20181106004455.0,21077,16.0,0.005
3,,,3.0,19.5,0.8695652173913043,-19.5,0.8,178.5,0.8333333333333334,178.5,0.8333333333333334,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,32.0,1.0,20181106004456.0,11077.0,17.0,0.004
4,,,3.0,19.5,0.8695652173913043,-19.5,0.8,178.5,0.8,178.5,0.8695652173913043,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,26.0,0.0,20181106004502.0,11077.0,17.0,0.004
5,,,3.0,19.5,0.8695652173913043,-19.5,0.8,178.5,0.8,178.5,0.8695652173913043,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,26.0,0.0,20181106004504.0,11086.0,17.0,0.004
6,,,3.0,19.5,0.8695652173913043,-19.5,0.8,178.5,0.8,178.5,0.8695652173913043,,,,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,3.0,4.0,61.5,58.3,67.0,53,0,1,3.0,26.0,0.0,20181106004516.0,11086.0,17.0,0.004
7,,,3.0,18.5,0.8695652173913043,-18.5,0.8,178.5,0.8333333333333334,178.5,0.8333333333333334,,,1.0,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,4.0,4.0,61.5,58.3,67.0,53,0,1,3.0,26.0,1.0,20181106004537.0,11086.0,16.0,0.005
8,,,3.0,18.5,0.8695652173913043,-18.5,0.8,177.5,0.8333333333333334,177.5,0.8333333333333334,,,1.0,7.0,8.0,19.0,11.0,8.0,7.0,4.0,3,4.0,4.0,61.5,58.3,67.0,53,0,1,3.0,17.0,1.0,20181106004545.0,21077.0,16.0,0.005
9,,,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,^,1.0,7.0,8.0,19.0,12.0,8.0,7.0,4.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,1.0,20181106004546.0,21074^11077,15.0,0.006666666666666667
10,,,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,^,1.0,7.0,8.0,19.0,12.0,8.0,7.0,4.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,0.0,20181106004547.0,21074^11077,15.0,0.006666666666666667
11,44.0,5.0,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,4.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,0.0,20181106004553.0,11081.0,15.0,0.006666666666666667
12,44.0,5.0,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,^,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,0.0,20181106004554.0,11077^11081,15.0,0.006666666666666667
13,,,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,1.0,20181106004722.0,11077.0,15.0,0.006666666666666667
14,,,3.0,17.5,0.9090909090909091,-17.5,0.7692307692307693,179.5,0.8695652173913043,179.5,0.8,,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,17.0,1.0,20181106004723.0,11077.0,15.0,0.006666666666666667
15,,,3.0,17.5,0.8695652173913043,-17.5,0.8,179.5,0.8,179.5,0.8695652173913043,,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,8.0,1.0,20181106004731.0,11077.0,15.0,0.006666666666666667
16,,,3.0,17.5,0.8695652173913043,-17.5,0.8,178.5,0.8333333333333334,178.5,0.8333333333333334,,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,3.0,0.0,1.0,20181106004739.0,11077.0,15.0,0.006666666666666667
17,,,3.0,17.5,0.8695652173913043,-17.5,0.8,178.5,0.8333333333333334,178.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,4.0,61.5,58.3,67.0,55,0,1,2.0,58.0,0.0,20181106004741.0,11077.0,15.0,0.006666666666666667
18,,,3.0,18.5,0.8,-18.5,0.8695652173913043,178.5,0.8333333333333334,178.5,0.8333333333333334,19.0,^1:2,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,5.0,61.5,58.3,67.0,55,0,1,2.0,58.0,0.0,20181106004741.0,21086.0,15.0,0.006666666666666667
19,,,3.0,18.5,0.8,-18.5,0.8695652173913043,178.5,0.9090909090909091,178.5,0.7692307692307693,21.0,^1:2,1.0,7.0,8.0,19.0,12.0,8.0,7.0,3.0,3,4.0,5.0,61.5,58.3,67.0,55,0,1,3.0,3.0,0.0,20181106004755.0,21086.0,15.0,0.006666666666666667
20,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.8333333333333334,180.5,0.8333333333333334,21.0,1:2^2:2,1.0,7.0,8.0,19.0,12.0,9.0,7.0,3.0,3,4.0,5.0,64.3,58.3,68.0,55,0,1,3.0,3.0,0.0,20181106004818.0,11079^11078,15.0,0.006666666666666667
21,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.9090909090909091,180.5,0.7692307692307693,21.0,2:2,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,3.0,3.0,0.0,20181106004832.0,11079.0,16.0,0.005
22,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.9090909090909091,180.5,0.7692307692307693,21.0,2:2,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,3.0,3.0,1.0,20181106004833.0,11079.0,16.0,0.005
23,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.8333333333333334,180.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,54.0,1.0,20181106004842.0,21077.0,16.0,0.005
24,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,47.0,0.0,20181106004848.0,21077.0,16.0,0.005
25,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,47.0,1.0,20181106004900.0,21077.0,16.0,0.005
26,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,47.0,1.0,20181106004901.0,21077.0,16.0,0.005
27,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8,179.5,0.8695652173913043,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,39.0,0.0,20181106004908.0,21077.0,16.0,0.005
28,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8,179.5,0.8695652173913043,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,39.0,0.0,20181106004911.0,21077.0,16.0,0.005
29,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8,179.5,0.8695652173913043,19.0,1:2,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,4.0,5.0,66.7,58.3,69.0,55,0,1,2.0,39.0,0.0,20181106004911.0,11086.0,16.0,0.005
30,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8,179.5,0.8695652173913043,19.0,^1:2,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,5.0,5.0,66.7,58.3,69.0,55,0,1,2.0,39.0,0.0,20181106004915.0,11086^21078,16.0,0.005
31,,,3.0,18.5,0.8695652173913043,-18.5,0.8,179.5,0.8,179.5,0.8695652173913043,19.0,1:2^2:2,1.0,7.0,8.0,19.0,12.0,10.0,7.0,3.0,3,5.0,5.0,66.7,53.8,69.0,55,0,1,2.0,39.0,0.0,20181106004932.0,21080^21078,17.0,0.004
32,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.8,180.5,0.8695652173913043,19.0,2:2,1.0,7.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,69.0,56,0,1,2.0,39.0,0.0,20181106004944.0,21079.0,16.0,0.005
33,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.8,180.5,0.8695652173913043,19.0,2:2,1.0,7.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,69.0,56,0,1,2.0,39.0,1.0,20181106004945.0,21079.0,16.0,0.005
34,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,180.5,0.8,180.5,0.8695652173913043,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,69.0,56,0,1,2.0,39.0,1.0,20181106004946.0,11077.0,16.0,0.005
35,,,3.0,18.5,0.8333333333333334,-18.5,0.8333333333333334,179.5,0.8333333333333334,179.5,0.8333333333333334,19.0,,1.0,7.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,69.0,56,0,1,2.0,30.0,1.0,20181106004954.0,11077.0,16.0,0.005
36,,,3.0,20.5,0.8333333333333334,-20.5,0.8333333333333334,182.5,0.8333333333333334,182.5,0.8333333333333334,17.0,^,1.0,8.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,72.0,56,0,1,2.0,27.0,1.0,20181106004957.0,11075^21077,16.0,0.005
37,,,3.0,20.5,0.8,-20.5,0.8695652173913043,182.5,0.8333333333333334,182.5,0.8333333333333334,17.0,,1.0,8.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,72.0,56,0,1,2.0,25.0,1.0,20181106005000.0,21077.0,16.0,0.005
38,,,3.0,20.5,0.8,-20.5,0.8695652173913043,181.5,0.8695652173913043,181.5,0.8,17.0,,1.0,8.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,72.0,56,0,1,2.0,16.0,1.0,20181106005008.0,21077.0,16.0,0.005
39,,,3.0,20.5,0.8,-20.5,0.8695652173913043,181.5,0.8,181.5,0.8695652173913043,17.0,,1.0,8.0,8.0,19.0,12.0,10.0,8.0,3.0,3,5.0,5.0,66.7,57.1,72.0,56,0,1,2.0,8.0,1.0,20181106005017.0,21077.0,16.0,0.005
