,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,2.0,-45.5,0.8695652173913043,45.5,0.8,142.5,0.8695652173913043,142.5,0.8,,,,,2.0,0.0,1.0,15.0,5.0,5.0,4.0,5,1.0,4.0,45.5,100.0,13.0,35.0,0,1,6.0,24.0,0,20181105162903,11079^11078
1,,,,2.0,-44.5,0.8,44.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,24.0,0,20181105162913.0,11079^21077
2,,,,2.0,-44.5,0.8,44.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,23.0,0,20181105162915.0,11079^21077
3,,,,2.0,-44.5,0.8,44.5,0.8695652173913043,143.5,0.8333333333333334,143.5,0.8333333333333334,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,23.0,1.0,20181105162917.0,11079^21077
4,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,143.5,0.8,143.5,0.8695652173913043,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,14.0,1.0,20181105162925.0,11079^21077
5,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,142.5,0.8695652173913043,142.5,0.8,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,13.0,0.0,20181105162927.0,11079^21077
6,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,142.5,0.8695652173913043,142.5,0.8,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,13.0,1.0,20181105162940.0,11079^21077
7,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,2:2^,,2.0,0.0,1.0,15.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,4.0,1.0,20181105162948.0,11079^21077
8,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,6.0,4.0,1.0,20181105162948.0,11077.0
9,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,143.5,0.8695652173913043,143.5,0.8,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,53.0,1.0,20181105162959.0,11077.0
10,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,48.0,1.0,20181105163005.0,11077.0
11,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,47.0,1.0,20181105163006.0,11077.0
12,,,,2.0,-46.5,0.8695652173913043,46.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,46.0,1.0,20181105163007.0,21077.0
13,,,,2.0,-46.5,0.8695652173913043,46.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,1.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,44.0,0.0,20181105163009.0,21077.0
14,,,,2.0,-46.5,0.8695652173913043,46.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,44.0,0.0,20181105163011.0,11086^21077
15,,,,2.0,-46.5,0.8695652173913043,46.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,44.0,1.0,20181105163027.0,11086^21077
16,,,,2.0,-46.5,0.8695652173913043,46.5,0.8,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,34.0,1.0,20181105163027.0,11086^21077
17,,,,2.0,-46.5,0.8333333333333334,46.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,35.0,1.0,20181105163036.0,11077.0
18,,,,2.0,-46.5,0.8333333333333334,46.5,0.8333333333333334,141.5,0.8695652173913043,141.5,0.8,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,26.0,1.0,20181105163044.0,11077.0
19,,,,2.0,-46.5,0.8333333333333334,46.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,4.0,50.0,100.0,14.0,35.0,0,1,5.0,22.0,0.0,20181105163048.0,11077.0
20,,,,2.0,-46.5,0.8333333333333334,46.5,0.8333333333333334,141.5,0.8333333333333334,141.5,0.8333333333333334,,,^,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,5.0,50.0,100.0,14.0,35.0,0,1,5.0,22.0,0.0,20181105163059.0,21086^11077
21,,,,2.0,-44.5,0.8333333333333334,44.5,0.8333333333333334,142.5,0.8333333333333334,142.5,0.8333333333333334,,,1:2,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,5.0,50.0,100.0,14.0,35.0,0,1,5.0,22.0,0.0,20181105163101.0,11078.0
22,,,,2.0,-42.5,0.8333333333333334,42.5,0.8333333333333334,142.5,0.8,142.5,0.8695652173913043,,,1:2^2:2,,2.0,0.0,1.0,16.0,6.0,5.0,4.0,5,2.0,5.0,46.2,100.0,14.0,35.0,0,1,5.0,22.0,0.0,20181105163122.0,11080^11078
23,,,,2.0,-42.5,0.8695652173913043,42.5,0.8,142.5,0.8695652173913043,142.5,0.8,10.0,,2:2^,,2.0,0.0,1.0,16.0,7.0,5.0,4.0,5,2.0,5.0,50.0,100.0,15.0,37.0,0,1,5.0,22.0,0.0,20181105163135.0,11079^21077
24,,,,2.0,-42.5,0.8,42.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,10.0,,2:2^,,2.0,0.0,1.0,16.0,7.0,5.0,4.0,5,2.0,5.0,50.0,100.0,15.0,37.0,0,1,5.0,21.0,0.0,20181105163136.0,11079^21077
25,,,,2.0,-42.5,0.8,42.5,0.8695652173913043,142.5,0.8333333333333334,142.5,0.8333333333333334,10.0,,2:2^,,2.0,0.0,1.0,16.0,7.0,5.0,4.0,5,2.0,5.0,50.0,100.0,15.0,37.0,0,1,5.0,21.0,1.0,20181105163139.0,11079^21077
