,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,3.0,63.6,60.0,26,33,0,1,5.0,2.0,1,20181105162922,11077,0.8333333333333334,0.8333333333333334
1,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8695652173913043,130.5,0.8,,,,,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,3.0,63.6,60.0,26,33,0,1,4.0,53.0,1,20181105162930.0,11077,0.8333333333333334,0.8333333333333334
2,,,,2.0,-1.5,0.8695652173913043,1.5,0.8,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,3.0,63.6,60.0,26,33,0,1,4.0,50.0,1,20181105162934.0,21077.0,0.7692307692307693,0.9090909090909091
3,,,,2.0,-1.5,0.8695652173913043,1.5,0.8,130.5,0.8,130.5,0.8695652173913043,,,,,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,3.0,63.6,60.0,26,33,0,1,4.0,41.0,1,20181105162943.0,21077.0,0.7692307692307693,0.9090909090909091
4,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8,130.5,0.8695652173913043,,,,,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,3.0,63.6,60.0,26,33,0,1,4.0,39.0,0.0,20181105162945.0,11077.0,0.8333333333333334,0.8333333333333334
5,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8,130.5,0.8695652173913043,,,,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,4.0,63.6,60.0,26,33,0,1,4.0,39.0,0.0,20181105162951.0,21086.0,0.8333333333333334,0.8333333333333334
6,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8,130.5,0.8695652173913043,,,,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,63.6,60.0,26,33,0,1,4.0,39.0,0.0,20181105162955.0,21086.0,0.8333333333333334,0.8333333333333334
7,,,,2.0,1.5,0.7692307692307693,-1.5,0.9090909090909091,131.5,0.8,131.5,0.8695652173913043,,,1:2,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,63.6,60.0,26,33,0,1,4.0,39.0,0.0,20181105162957.0,11078.0,0.9090909090909091,0.7692307692307693
8,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8333333333333334,130.5,0.8333333333333334,,,1:2^2:2,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,58.3,60.0,26,33,0,1,4.0,39.0,0.0,20181105163016.0,11080^11078,0.8333333333333334,0.8333333333333334
9,,,,2.0,-1.5,0.8695652173913043,1.5,0.8,130.5,0.8,130.5,0.8695652173913043,,,2:2^,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,26,33,0,1,4.0,39.0,1.0,20181105163025.0,11080^21077,0.7692307692307693,0.9090909090909091
10,,,,2.0,-1.5,0.8695652173913043,1.5,0.8,129.5,0.8333333333333334,129.5,0.8333333333333334,,,2:2^,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,26,33,0,1,4.0,30.0,1.0,20181105163033.0,11080^21077,0.7692307692307693,0.9090909090909091
11,,,,2.0,-1.5,1.0,1.5,0.7142857142857143,130.5,0.8,130.5,0.8695652173913043,,,,1.0,3.0,4.0,5.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,26,33,0,1,4.0,39.0,1.0,20181105163036.0,11077.0,0.8333333333333334,0.8333333333333334
12,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,132.5,0.8,132.5,0.8695652173913043,,,^,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,28,33,0,1,4.0,32.0,1.0,20181105163043.0,11074^21077,1.0,0.7142857142857143
13,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,28,33,0,1,4.0,25.0,1.0,20181105163051.0,21077.0,1.0,0.7142857142857143
14,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,0.0,20181105163053.0,21077.0,1.0,0.7142857142857143
15,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,0.0,20181105163101.0,11086.0,1.0,0.7142857142857143
16,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,1.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,0.0,20181105163102.0,11086.0,1.0,0.7142857142857143
17,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,0.0,20181105163108.0,11086.0,1.0,0.7142857142857143
18,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,1.0,20181105163114.0,11086.0,1.0,0.7142857142857143
19,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,131.5,0.8333333333333334,131.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,22.0,1.0,20181105163115.0,21077.0,1.0,0.7142857142857143
20,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,130.5,0.8695652173913043,130.5,0.8,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,13.0,1.0,20181105163123.0,21077.0,1.0,0.7142857142857143
21,,,,2.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,7.0,1.0,20181105163129.0,21077.0,1.0,0.7142857142857143
22,,,,2.0,1.5,0.8695652173913043,-1.5,0.8,130.5,0.8333333333333334,130.5,0.8333333333333334,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,5.0,1.0,20181105163132.0,11077.0,1.1,0.6666666666666666
23,,,,2.0,1.5,0.8695652173913043,-1.5,0.8,130.5,0.8,130.5,0.8695652173913043,,,,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,5.0,53.8,60.0,28,33,0,1,4.0,1.0,0.0,20181105163136.0,11077.0,1.1,0.6666666666666666
24,,,,2.0,1.5,0.8695652173913043,-1.5,0.8,130.5,0.8,130.5,0.8695652173913043,,,^1:2,1.0,3.0,4.0,6.0,9.0,7.0,3.0,4.0,5.0,2.0,6.0,53.8,60.0,28,33,0,1,4.0,1.0,0.0,20181105163136.0,21086.0,1.1,0.6666666666666666
