,ED,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,14,4,,23,16,,14,15,4,2,,11,6,,66.7,62.5,102,60,0,1,1,54.0,1,20181106010932,21075^11077
1,,,,14,4,,23,16,,14,15,4,2,,11,6,,66.7,62.5,102,60,0,1,1,53.0,0.0,20181106010932,21075^11077
2,,,,14,4,,23,16,,14,15,4,2,,11,6,,66.7,62.5,102,60,0,1,1,53.0,0.0,20181106010933.0,21077.0
3,,1:2^2:2,,14,4,,23,16,,14,15,4,2,,11,6,60.0,66.7,62.5,102,60,0,1,1,53.0,0.0,20181106010940.0,21080^21078
4,,2:2^,,14,4,,23,16,16.0,14,15,4,2,,11,6,61.5,66.7,62.5,102,61,0,1,1,53.0,0.0,20181106010952.0,21079^11077
5,,,,14,4,,23,16,16.0,14,15,4,2,,11,6,61.5,66.7,62.5,102,61,0,1,1,53.0,1.0,20181106010952.0,11077.0
6,,,,14,4,,23,16,16.0,14,15,4,2,,11,6,61.5,66.7,62.5,102,61,0,1,1,44.0,1.0,20181106011001.0,11077.0
7,,^,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,38.0,0.0,20181106011007.0,11086^21077
8,,,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,38.0,0.0,20181106011008.0,21077.0
9,,,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,38.0,1.0,20181106011011.0,21077.0
10,,,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,29.0,1.0,20181106011020.0,21077.0
11,,,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,20.0,1.0,20181106011028.0,21077.0
12,,,,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,61,0,1,1,18.0,0.0,20181106011030.0,21077.0
13,,^,5.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,64,0,1,1,18.0,0.0,20181106011052.0,21075^11077
14,,,5.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,64,0,1,1,18.0,0.0,20181106011053.0,11077.0
15,,,5.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,63,0,1,1,18.0,0.0,20181106011053.0,11077.0
16,,,5.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,102,64,0,1,1,18.0,0.0,20181106011053.0,11077.0
17,,^,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,18.0,0.0,20181106011101.0,11075^21077
18,,^,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,18.0,0.0,20181106011102.0,11075^21077
19,,,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,18.0,1.0,20181106011114.0,21077.0
20,,,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,16.0,0.0,20181106011116.0,21077.0
21,,,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,16.0,0.0,20181106011119.0,11077.0
22,,,15.0,14,4,,23,16,16.0,14,15,4,2,12.0,11,6,61.5,66.7,62.5,105,64,0,1,1,16.0,0.0,20181106011123.0,11077.0
