,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-9.5,0.8,9.5,0.8695652173913043,187.5,0.8,187.5,0.8695652173913043,,,,1,7.0,19.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,48,56,0,1,9.0,31.0,0,20181106142621,21077,0.14285714285714285,4.0
1,,,3.0,-9.5,0.8,9.5,0.8695652173913043,187.5,0.8,187.5,0.8695652173913043,,,,1,7.0,19.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,48,56,0,1,9.0,31.0,1.0,20181106142635.0,21077,0.14285714285714285,4.0
2,,,3.0,-9.5,0.8,9.5,0.8695652173913043,186.5,0.8695652173913043,186.5,0.8,,,,1,7.0,19.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,48,56,0,1,9.0,30.0,1.0,20181106142636.0,21077,0.14285714285714285,4.0
3,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,186.5,0.8,186.5,0.8695652173913043,,,,1,7.0,19.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,48,56,0,1,9.0,22.0,1.0,20181106142644.0,11077.0,0.15384615384615385,3.75
4,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,186.5,0.8,186.5,0.8695652173913043,,,,1,7.0,19.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,48,56,0,1,9.0,21.0,1.0,20181106142644.0,11077.0,0.15384615384615385,3.75
5,,,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8333333333333334,188.5,0.8333333333333334,,^,,1,7.0,20.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,18.0,1.0,20181106142647.0,11074^21077,0.21052631578947367,3.25
6,,,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8333333333333334,188.5,0.8333333333333334,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,17.0,1.0,20181106142649.0,21077.0,0.21052631578947367,3.25
7,,,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8,188.5,0.8695652173913043,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,3.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,15.0,0.0,20181106142651.0,21077.0,0.21052631578947367,3.25
8,44.0,5.0,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8,188.5,0.8695652173913043,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,15.0,0.0,20181106142658.0,21081.0,0.21052631578947367,3.25
9,,,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8,188.5,0.8695652173913043,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,15.0,1.0,20181106142820.0,21077.0,0.21052631578947367,3.25
10,,,3.0,-8.5,0.8695652173913043,8.5,0.8,188.5,0.8,188.5,0.8695652173913043,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,14.0,1.0,20181106142820.0,21077.0,0.21052631578947367,3.25
11,,,3.0,-8.5,0.8695652173913043,8.5,0.8,187.5,0.8695652173913043,187.5,0.8,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,13.0,1.0,20181106142822.0,21077.0,0.21052631578947367,3.25
12,,,3.0,-8.5,0.8695652173913043,8.5,0.8,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,4.0,1.0,20181106142830.0,21077.0,0.21052631578947367,3.25
13,,,3.0,-8.5,0.8695652173913043,8.5,0.8,187.5,0.8,187.5,0.8695652173913043,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,9.0,4.0,1.0,20181106142832.0,21077.0,0.21052631578947367,3.25
14,,,3.0,-8.5,0.8695652173913043,8.5,0.8,186.5,0.8333333333333334,186.5,0.8333333333333334,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,0.0,0.0,57.1,60.0,50,56,0,1,8.0,57.0,0.0,20181106142838.0,21077.0,0.21052631578947367,3.25
15,,,3.0,-8.5,0.8695652173913043,8.5,0.8,186.5,0.8333333333333334,186.5,0.8333333333333334,,^,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,56,0,1,8.0,57.0,0.0,20181106142852.0,11086^21077,0.21052631578947367,3.25
16,,,3.0,-8.5,0.8695652173913043,8.5,0.8,186.5,0.8333333333333334,186.5,0.8333333333333334,,^,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,56,0,1,8.0,57.0,0.0,20181106142857.0,11086^21077,0.21052631578947367,3.25
17,,,3.0,-8.5,0.8695652173913043,8.5,0.8,186.5,0.8333333333333334,186.5,0.8333333333333334,,^,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,56,0,1,8.0,56.0,0.0,20181106142857.0,11086^21077,0.21052631578947367,3.25
18,,,3.0,-8.5,0.8695652173913043,8.5,0.8,186.5,0.8333333333333334,186.5,0.8333333333333334,,,,1,7.0,20.0,12.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,56,0,1,8.0,56.0,0.0,20181106142924.0,21077.0,0.21052631578947367,3.25
19,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,,^,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,51.0,0.0,20181106142928.0,21074^11077,0.15384615384615385,3.75
20,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,188.5,0.8333333333333334,188.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,50.0,0.0,20181106142929.0,11077.0,0.15384615384615385,3.75
21,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,41.0,0.0,20181106142937.0,11077.0,0.15384615384615385,3.75
22,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,42.0,0.0,20181106142938.0,11077.0,0.15384615384615385,3.75
23,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,41.0,0.0,20181106142939.0,11077.0,0.15384615384615385,3.75
24,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,41.0,1.0,20181106142950.0,11077.0,0.15384615384615385,3.75
25,,,3.0,-10.5,0.8695652173913043,10.5,0.8,187.5,0.8333333333333334,187.5,0.8333333333333334,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,40.0,1.0,20181106142950.0,21077.0,0.14285714285714285,4.0
26,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8695652173913043,186.5,0.8,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,31.0,1.0,20181106142958.0,21077.0,0.14285714285714285,4.0
27,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8,186.5,0.8695652173913043,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,23.0,1.0,20181106143007.0,21077.0,0.14285714285714285,4.0
28,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8,186.5,0.8695652173913043,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,22.0,1.0,20181106143007.0,21077.0,0.14285714285714285,4.0
29,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8,186.5,0.8695652173913043,,,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,0.0,57.1,60.0,50,58,0,1,8.0,21.0,0.0,20181106143009.0,21077.0,0.14285714285714285,4.0
30,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8,186.5,0.8695652173913043,,^,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,1.0,57.1,60.0,50,58,0,1,8.0,22.0,0.0,20181106143024.0,21086^11077,0.14285714285714285,4.0
31,,,3.0,-10.5,0.8695652173913043,10.5,0.8,186.5,0.8,186.5,0.8695652173913043,,^,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,1.0,57.1,60.0,50,58,0,1,8.0,22.0,0.0,20181106143025.0,21086^11077,0.14285714285714285,4.0
32,,,3.0,-8.5,0.8,8.5,0.8695652173913043,187.5,0.8,187.5,0.8695652173913043,,1:2,,1,7.0,20.0,13.0,8.0,6.0,4.0,2.0,1.0,1.0,53.3,60.0,50,58,0,1,8.0,22.0,0.0,20181106143025.0,11078.0,0.18181818181818182,3.4
33,,,3.0,-8.5,0.8695652173913043,8.5,0.8,187.5,0.8,187.5,0.8695652173913043,,2:2^,,1,7.0,20.0,13.0,9.0,6.0,4.0,2.0,1.0,1.0,56.2,60.0,51,58,0,1,8.0,22.0,0.0,20181106143049.0,11079^21077,0.18181818181818182,3.4
