,AM,AS,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,,0,1,0,15.0,0,20181107150303,11077
1,,,,,,,,0,1,0,15.0,0,20181107150317.0,11077
2,,,,,,,,0,1,0,15.0,0,20181107150325.0,21086.0
3,,,,2.0,1:2,,,0,1,0,15.0,0,20181107150341.0,11078.0
4,44.0,5.0,,2.0,,,,0,1,0,15.0,0,20181107150346.0,11081.0
5,,,,2.0,,,,0,1,0,15.0,0,20181107150518.0,11077.0
6,,,,2.0,1:2^2:2,,,0,1,0,15.0,0,20181107150527.0,11080^11078
7,,,,2.0,1:2^2:2,,,0,1,0,15.0,0,20181107150542.0,11080^11078
8,,,,1.0,1:2^2:2,,,0,1,0,15.0,1.0,20181107150542.0,11080^11078
9,,,,1.0,1:2^2:2,,,0,1,0,17.0,1.0,20181107150543.0,11080^11078
10,,,,1.0,1:2^2:2,,,0,1,0,15.0,0.0,20181107150545.0,11080^11078
11,,,,1.0,1:2^2:2,,,0,1,0,15.0,0.0,20181107150552.0,11080^11078
12,,,,1.0,1:2^2:2,,,0,1,0,15.0,0.0,20181107150609.0,11086.0
13,,,,2.0,1:2,,,0,1,0,15.0,0.0,20181107150611.0,21078.0
14,,,,1.0,1:2^2:2,66.0,70.0,0,1,0,15.0,0.0,20181107150617.0,21079^21078
15,,,,1.0,2:2^,66.0,71.0,0,1,0,15.0,0.0,20181107150629.0,21079^11077
16,,,,1.0,,66.0,71.0,0,1,0,15.0,0.0,20181107150629.0,11077.0
17,,,,1.0,^,66.0,71.0,0,1,0,15.0,0.0,20181107150741.0,11077^11077
18,,,,1.0,^,66.0,71.0,0,1,0,15.0,1.0,20181107150741.0,11077^11077
19,,,,1.0,^,66.0,71.0,0,1,0,8.0,1.0,20181107150757.0,21077.0
20,,,,1.0,^,66.0,71.0,0,1,0,7.0,0.0,20181107150758.0,21077.0
21,,,,1.0,^,66.0,71.0,0,1,0,7.0,0.0,20181107150802.0,21077.0
22,,,,1.0,^,66.0,71.0,0,1,0,7.0,0.0,20181107150816.0,11086.0
23,,,,1.0,1:2,66.0,71.0,0,1,0,7.0,0.0,20181107150817.0,21078.0
24,,,,1.0,1:2^2:2,66.0,72.0,0,1,0,7.0,0.0,20181107150822.0,21079^21078
25,,,,1.0,2:2^,66.0,73.0,0,1,0,7.0,0.0,20181107150833.0,21079^11077
26,,,,1.0,,66.0,73.0,0,1,0,7.0,1.0,20181107150833.0,11077.0
27,,,,1.0,,66.0,73.0,0,1,0,0.0,0.0,20181107150844.0,11077.0
28,,,,1.0,,66.0,73.0,0,1,0,0.0,0.0,20181107150845.0,11077.0
29,,,,1.0,,66.0,73.0,0,1,0,0.0,0.0,20181107150845.0,1084.0
