,C1,C2,CC,CK,CL,CT,DC,ED,EL,EX,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,ID,IT,LB,LM,MD,ML,NA,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,S7,SC_a,SC_h,SU,SV,T1,T2,TA,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD,XT
0,,,,,,,,2.0,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,,,,,,,,,,8,8,,10,9,,8,5,,5,3,,3,3,,80.0,62.5,,52,47,0,,,,,1,3.0,39.0,0,20181107033453,21077,3.25,0.21052631578947367,
1,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,80.0,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,6.0,0.0,20181107035333.0,11077.0,3.25,0.21052631578947367,0.0
2,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,1:2,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,80.0,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,6.0,0.0,20181107035401.0,11078.0,3.25,0.21052631578947367,0.0
3,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,4.5,0.8333333333333334,-4.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,1:2^2:2,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,70.6,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,6.0,0.0,20181107035411.0,11080^11078,11.5,0.013333333333333334,0.0
4,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,2:2^,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,6.0,1.0,20181107035421.0,11080^21077,13.0,0.011111111111111112,0.0
5,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,5.0,1.0,20181107035422.0,21077.0,14.0,0.01,0.0
6,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,4.0,0.0,20181107035423.0,21077.0,14.0,0.01,0.0
7,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,4.0,1.0,20181107035427.0,21077.0,14.0,0.01,0.0
8,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,5.5,0.8333333333333334,-5.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,2.0,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,2.0,1.0,20181107035429.0,21094.0,16.0,0.005,0.0
9,1.0,6569055.0,NCAAB,5093.0,18.0,NCAAB,1.0,,,,6.5,0.8333333333333334,-6.5,0.8333333333333334,114.5,0.9090909090909091,114.5,0.7692307692307693,77101071C18A_1_3,1565690555M18_1_3,0.0,1.0,2.0,0.0,Elon @ Manhattan,,3 Pts,8,8,2 Pts,10,9,Ft,8,5,Time Outs#T.O,5,3,Fouls,3,3,,66.7,62.5,,62,56,0,1.0,5.0,5.0,,1.0,0.0,0.0,0.0,20181107035432.0,11077.0,16.0,0.005,0.0
