,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,2.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,51.0,0,20181107031358,11081
1,,,2.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8695652173913043,114.5,0.8,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,51.0,1.0,20181107031628.0,11081
2,,,2.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.8,114.5,0.8695652173913043,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,42.0,1.0,20181107031636.0,11081
3,,,2.0,-28.5,0.8333333333333334,28.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,40.0,0.0,20181107031639.0,11081
4,,,2.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,^,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,40.0,0.0,20181107031651.0,11086^21077
5,,,2.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,114.5,0.7692307692307693,114.5,0.9090909090909091,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,40.0,1.0,20181107031700.0,21077.0
6,,,2.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,113.5,0.8333333333333334,113.5,0.8333333333333334,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,31.0,1.0,20181107031708.0,21077.0
7,,,2.0,-29.5,0.8695652173913043,29.5,0.8,113.5,0.7692307692307693,113.5,0.9090909090909091,,,,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,5.0,4.0,40.0,47.6,32,58,0,1,6.0,24.0,0.0,20181107031716.0,21077.0
8,,,2.0,-29.5,0.8695652173913043,29.5,0.8,113.5,0.7692307692307693,113.5,0.9090909090909091,,^,1.0,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,6.0,4.0,40.0,47.6,32,58,0,1,6.0,24.0,0.0,20181107031743.0,11086^21077
9,,,2.0,-29.5,0.8333333333333334,29.5,0.8333333333333334,114.5,0.8333333333333334,114.5,0.8333333333333334,,1:2,1.0,2.0,6,12.0,15.0,2.0,10.0,3.0,5.0,6.0,4.0,40.0,47.6,32,58,0,1,6.0,24.0,0.0,20181107031743.0,21078.0
