,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-6.5,0.9523809523809523,6.5,0.8,209.5,0.8,209.5,0.9523809523809523,,,,,5.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,71,80,0,1,0.0,46.0,1,20181108014645,11077,0.23529411764705882,3.2
1,,,,3.0,-6.5,0.9523809523809523,6.5,0.8,208.5,0.8695652173913043,208.5,0.8695652173913043,,,,,5.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,71,80,0,1,0.0,38.0,1,20181108014653.0,11077,0.2222222222222222,3.3
2,,,,3.0,-6.5,0.9523809523809523,6.5,0.8,208.5,0.8333333333333334,208.5,0.9090909090909091,,,,,5.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,71,80,0,1,0.0,36.0,0.0,20181108014655.0,11077,0.2222222222222222,3.3
3,,,,3.0,-4.5,0.8695652173913043,4.5,0.8695652173913043,211.5,0.8333333333333334,211.5,0.9090909090909091,,,^,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,36.0,0.0,20181108014658.0,11075^21077,0.3448275862068966,2.25
4,,,,3.0,-4.5,0.8695652173913043,4.5,0.8695652173913043,211.5,0.8333333333333334,211.5,0.9090909090909091,,,,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,36.0,1.0,20181108014701.0,21077.0,0.3448275862068966,2.25
5,,,,3.0,-4.5,0.8695652173913043,4.5,0.8695652173913043,210.5,0.9090909090909091,210.5,0.8333333333333334,,,,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,27.0,1.0,20181108014709.0,21077.0,0.3333333333333333,2.3
6,,,,3.0,-4.5,0.8333333333333334,4.5,0.9090909090909091,210.5,0.8695652173913043,210.5,0.8695652173913043,,,,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,22.0,1.0,20181108014715.0,21095.0,0.3333333333333333,2.3
7,,,,3.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,210.5,0.8695652173913043,210.5,0.8695652173913043,,,,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,22.0,1.0,20181108014716.0,11077.0,0.4166666666666667,1.95
8,,,,3.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,210.5,0.8,210.5,0.9523809523809523,,,,,6.0,7.0,20.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,74,80,0,1,0.0,17.0,0.0,20181108014720.0,11077.0,0.40816326530612246,2.0
9,,,,3.0,-3.5,0.9090909090909091,3.5,0.8333333333333334,212.5,0.8,212.5,0.9523809523809523,,,^,,6.0,7.0,21.0,28.0,16.0,3.0,2.0,3.0,3.0,1.0,88.9,100.0,76,80,0,1,0.0,17.0,0.0,20181108014723.0,11074^21077,0.5,1.65
