,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,0,1,0,29.0,0,20181108145848,11086
1,,2.0,1:2,,,0,1,0,29.0,0,20181108145849.0,21078.0
2,,2.0,1:2^2:2,89.0,84.0,0,1,0,29.0,0,20181108145853.0,21079^21078
3,,2.0,2:2^,89.0,85.0,0,1,0,29.0,0,20181108145855.0,21079^11077
4,,2.0,,89.0,85.0,0,1,0,29.0,0,20181108145858.0,11077.0
5,,2.0,,89.0,85.0,0,1,0,29.0,0,20181108145859.0,21086.0
6,,2.0,1:2,89.0,85.0,0,1,0,29.0,0,20181108145906.0,11078.0
7,,2.0,1:2^2:2,90.0,85.0,0,1,0,29.0,0,20181108145908.0,11079^11078
8,,2.0,,90.0,85.0,0,1,0,29.0,0,20181108145908.0,21077.0
9,,2.0,,90.0,85.0,0,1,0,29.0,1.0,20181108145920.0,21077.0
10,,2.0,,90.0,85.0,0,1,0,29.0,0.0,20181108145926.0,21077.0
11,,2.0,,90.0,85.0,0,1,0,29.0,0.0,20181108145926.0,11077.0
12,,2.0,,90.0,85.0,0,1,0,0.0,0.0,20181108145952.0,11077.0
13,,2.0,,90.0,85.0,0,1,0,0.0,0.0,20181108145953.0,21086.0
14,,2.0,1:2,90.0,85.0,0,1,0,0.0,0.0,20181108145957.0,11078.0
15,,2.0,1:2^2:2,92.0,88.0,0,1,0,0.0,0.0,20181108150007.0,11079^11078
16,,2.0,2:2^,93.0,88.0,0,1,0,0.0,0.0,20181108150010.0,11079^21077
17,,2.0,,93.0,88.0,0,1,0,0.0,1.0,20181108150011.0,21077.0
18,,2.0,,93.0,88.0,0,1,0,0.0,0.0,20181108150013.0,21077.0
19,,2.0,,93.0,88.0,0,1,0,2.0,0.0,20181108150013.0,21077.0
20,,2.0,,93.0,88.0,0,1,0,2.0,0.0,20181108150021.0,11077.0
21,,1.0,,93.0,88.0,0,1,0,0.0,0.0,20181108150022.0,11077.0
22,,1.0,,93.0,88.0,0,1,0,0.0,0.0,20181108150043.0,11077.0
23,,1.0,,93.0,88.0,0,1,0,0.0,0.0,20181108150043.0,1084.0
