,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,128.5,0.8695652173913043,128.5,0.8,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,57.0,1,20181108014650,11077,0.45454545454545453,1.6
1,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,128.5,0.8695652173913043,128.5,0.8,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,57.0,1,20181108014653.0,21077.0,0.45454545454545453,1.6
2,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,128.5,0.8,128.5,0.8695652173913043,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,46.0,1,20181108014701.0,21077.0,0.45454545454545453,1.6
3,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,129.5,0.8695652173913043,129.5,0.8,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,38.0,1,20181108014709.0,21077.0,0.45454545454545453,1.6
4,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,129.5,0.8,129.5,0.8695652173913043,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,30.0,1,20181108014718.0,21077.0,0.45454545454545453,1.6
5,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,129.5,0.7692307692307693,129.5,0.9090909090909091,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,29.0,1,20181108014719.0,21095.0,0.45454545454545453,1.6
6,,,,3.0,-3.5,0.8695652173913043,3.5,0.8,128.5,0.8333333333333334,128.5,0.8333333333333334,,,,,3.0,4.0,16.0,15.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,42,44,0,1,0.0,24.0,1,20181108014723.0,21077.0,0.45454545454545453,1.6
7,,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,130.5,0.8695652173913043,130.5,0.8,,,^,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,44,46,0,1,0.0,23.0,1,20181108014724.0,21074^11077,0.45454545454545453,1.6
8,,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,130.5,0.8,130.5,0.8695652173913043,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,44,46,0,1,0.0,14.0,1,20181108014733.0,11077.0,0.45454545454545453,1.6
9,,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,44,46,0,1,0.0,6.0,1,20181108014741.0,11077.0,0.45454545454545453,1.6
10,,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,44,46,0,1,0.0,2.0,0.0,20181108014745.0,11077.0,0.45454545454545453,1.6
11,,,,3.0,-3.5,0.9090909090909091,3.5,0.7692307692307693,129.5,0.8333333333333334,129.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,44,46,0,1,0.0,2.0,1.0,20181108014746.0,11077.0,0.45454545454545453,1.6
12,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,47,46,0,1,0.0,1.0,1.0,20181108014749.0,11077.0,0.625,1.2
13,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,47,46,0,1,0.0,0.0,0.0,20181108014749.0,21077.0,0.6666666666666666,1.1
14,,,,3.0,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,,,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,3.0,2.0,100.0,28.6,47,46,0,1,0.0,0.0,0.0,20181108014801.0,21077.0,0.6666666666666666,1.1
15,,,Q4,4th Quarter,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,4.0,3.0,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,0.0,0.0,100.0,28.6,47,46,0,1,10.0,0.0,0.0,20181108014801.0,1082.0,0.6666666666666666,1.1
16,,,Q4,4th Quarter,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,4.0,^,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,0.0,0.0,100.0,28.6,47,46,0,1,10.0,0.0,1.0,20181108015115.0,01090^11077,0.6666666666666666,1.1
17,,,Q4,4th Quarter,-1.5,0.8333333333333334,1.5,0.8333333333333334,132.5,0.8333333333333334,132.5,0.8333333333333334,,4.0,^,,3.0,4.0,16.0,16.0,1.0,2.0,4.0,4,0.0,0.0,100.0,28.6,47,46,0,1,10.0,0.0,1.0,20181108015121.0,01090^11077,0.6666666666666666,1.1
