,ED,LM,PG,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,0,1,1.0,51.0,1,20181108145846,11077
1,,2.0,,,,0,1,1.0,44.0,1,20181108145853.0,21077.0
2,,2.0,,,,0,1,1.0,36.0,1,20181108145901.0,21077.0
3,,1.0,,,,0,1,1.0,35.0,1,20181108145902.0,11077.0
4,,1.0,,,,0,1,1.0,27.0,1,20181108145910.0,11077.0
5,,1.0,,,,0,1,1.0,19.0,1,20181108145918.0,11077.0
6,,1.0,,,,0,1,1.0,11.0,1,20181108145927.0,11077.0
7,,1.0,^,84.0,72.0,0,1,1.0,3.0,1,20181108145934.0,11074^21077
8,,1.0,^,84.0,72.0,0,1,0.0,55.0,1,20181108145942.0,11074^21077
9,,1.0,^,84.0,72.0,0,1,0.0,47.0,1,20181108145950.0,11074^21077
10,,1.0,^,84.0,72.0,0,1,0.0,39.0,1,20181108145959.0,11074^21077
11,,1.0,^,84.0,72.0,0,1,0.0,31.0,1,20181108150007.0,11074^21077
12,,1.0,,84.0,72.0,0,1,0.0,26.0,1,20181108150012.0,11077.0
13,,1.0,^,87.0,72.0,0,1,0.0,19.0,1,20181108150019.0,11075^21077
14,,1.0,^,87.0,72.0,0,1,0.0,15.0,0.0,20181108150023.0,11075^21077
15,,1.0,^,87.0,72.0,0,1,0.0,15.0,1.0,20181108150035.0,11075^21077
16,,1.0,,87.0,72.0,0,1,0.0,10.0,1.0,20181108150039.0,11077.0
17,,1.0,,87.0,72.0,0,1,0.0,3.0,0.0,20181108150046.0,11077.0
18,,1.0,,87.0,72.0,0,1,0.0,3.0,1.0,20181108150100.0,11077.0
19,,1.0,,87.0,72.0,0,1,0.0,0.0,0.0,20181108150104.0,11077.0
20,,1.0,,87.0,72.0,0,1,0.0,0.0,0.0,20181108150104.0,1084.0
