,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,203.5,0.8695652173913043,203.5,0.8695652173913043,,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,12.0,0.0,0,20181108013858,01083,0.37037037037037035,2.15
1,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,203.5,0.8695652173913043,203.5,0.8695652173913043,,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,12.0,0.0,0,20181108015255.0,01083,0.37037037037037035,2.15
2,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,203.5,0.8695652173913043,203.5,0.8695652173913043,26.0,,^,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,12.0,0.0,1.0,20181108015256.0,01089^11077,0.37037037037037035,2.15
3,,,,3.0,-5.5,0.8695652173913043,5.5,0.8695652173913043,202.5,0.9090909090909091,202.5,0.8333333333333334,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,51.0,1.0,20181108015305.0,21077.0,0.37037037037037035,2.15
4,,,,3.0,-5.5,0.8695652173913043,5.5,0.8695652173913043,202.5,0.8695652173913043,202.5,0.8695652173913043,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,43.0,1.0,20181108015313.0,21077.0,0.37037037037037035,2.15
5,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,202.5,0.8333333333333334,202.5,0.9090909090909091,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,41.0,1.0,20181108015315.0,21095.0,0.37037037037037035,2.15
6,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,201.5,0.8695652173913043,201.5,0.8695652173913043,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,32.0,1.0,20181108015324.0,11077.0,0.37037037037037035,2.15
7,,,,3.0,-5.5,0.9090909090909091,5.5,0.8333333333333334,201.5,0.8695652173913043,201.5,0.8695652173913043,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,31.0,1.0,20181108015325.0,11077.0,0.37037037037037035,2.15
8,,,,3.0,-5.5,0.8695652173913043,5.5,0.8695652173913043,201.5,0.8695652173913043,201.5,0.8695652173913043,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,31.0,1.0,20181108015325.0,21077.0,0.35714285714285715,2.2
9,,,,3.0,-5.5,0.8695652173913043,5.5,0.8695652173913043,200.5,0.9090909090909091,200.5,0.8333333333333334,26.0,,,,6.0,5.0,9.0,17.0,5.0,2.0,4.0,4.0,0.0,0.0,100.0,50.0,42,50.0,0,1,11.0,22.0,1.0,20181108015334.0,21077.0,0.35714285714285715,2.2
