,AM,AS,CP,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,12.5,0.8,-12.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,,9.0,3.0,10.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,49,40,0,1,10.0,0.0,0,20181108013402,01083,5.5,0.1
1,,,,3.0,12.5,0.8,-12.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,,9.0,3.0,10.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,49,40,0,1,10.0,0.0,0,20181108015334.0,01083,5.5,0.1
2,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,54.0,0,20181108015339.0,11074^21077,6.75,0.06666666666666667
3,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,175.5,0.8333333333333334,175.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,54.0,0,20181108015340.0,21077.0,6.75,0.06666666666666667
4,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,174.5,0.8333333333333334,174.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,45.0,0,20181108015348.0,21077.0,6.75,0.06666666666666667
5,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,174.5,0.8,174.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,37.0,0,20181108015356.0,21077.0,6.75,0.06666666666666667
6,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,173.5,0.8333333333333334,173.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,31.0,0,20181108015403.0,21094.0,6.75,0.06666666666666667
7,,,,3.0,13.5,0.8695652173913043,-13.5,0.8,173.5,0.8,173.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,27.0,0,20181108015407.0,11077.0,7.0,0.0625
8,,,,3.0,14.5,0.8,-14.5,0.8695652173913043,172.5,0.8333333333333334,172.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,18.0,0,20181108015415.0,11077.0,7.0,0.0625
9,,,,3.0,14.5,0.8,-14.5,0.8695652173913043,171.5,0.8695652173913043,171.5,0.8,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,13.0,0.0,20181108015420.0,11077.0,7.0,0.0625
10,,,,3.0,14.5,0.8,-14.5,0.8695652173913043,171.5,0.8695652173913043,171.5,0.8,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,0.0,100.0,100.0,51,40,0,1,9.0,13.0,0.0,20181108015421.0,11077.0,7.0,0.0625
11,,,,3.0,14.5,0.8,-14.5,0.8695652173913043,171.5,0.8695652173913043,171.5,0.8,,,,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,1.0,100.0,100.0,51,40,0,1,9.0,13.0,0.0,20181108015423.0,21086.0,7.0,0.0625
12,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,172.5,0.8695652173913043,172.5,0.8,,,1:2,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,1.0,100.0,100.0,51,40,0,1,9.0,13.0,0.0,20181108015434.0,11078.0,7.5,0.05
13,,,,3.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,,1:2^2:2,,9.0,3.0,11.0,14.0,2.0,3.0,4,5.0,0.0,1.0,66.7,100.0,51,40,0,1,9.0,13.0,0.0,20181108015441.0,11080^11078,7.25,0.05555555555555555
14,,,,3.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,2:2^,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,9.0,13.0,0.0,20181108015457.0,11079^21077,7.25,0.05555555555555555
15,,,,3.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,173.5,0.8,173.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,9.0,13.0,1.0,20181108015500.0,21077.0,7.25,0.05555555555555555
16,,,,3.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,172.5,0.8333333333333334,172.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,9.0,4.0,1.0,20181108015508.0,21077.0,7.25,0.05555555555555555
17,,,,3.0,14.5,0.8333333333333334,-14.5,0.8333333333333334,172.5,0.8,172.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,9.0,0.0,1.0,20181108015513.0,21095.0,7.25,0.05555555555555555
18,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,57.0,1.0,20181108015515.0,11077.0,7.5,0.05
19,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,171.5,0.8,171.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,48.0,1.0,20181108015523.0,11077.0,7.5,0.05
20,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8695652173913043,170.5,0.8,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,47.0,0.0,20181108015525.0,11077.0,7.5,0.05
21,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8695652173913043,170.5,0.8,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,47.0,0.0,20181108015526.0,11095.0,7.5,0.05
22,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8695652173913043,170.5,0.8,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,47.0,0.0,20181108015530.0,11077.0,7.5,0.05
23,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8695652173913043,170.5,0.8,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,47.0,1.0,20181108015535.0,11077.0,7.5,0.05
24,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8333333333333334,170.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,38.0,1.0,20181108015544.0,11077.0,7.5,0.05
25,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8,170.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,36.0,0.0,20181108015545.0,11077.0,7.5,0.05
26,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8,170.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,36.0,0.0,20181108015547.0,11077.0,7.5,0.05
27,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8,170.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,36.0,0.0,20181108015548.0,11077.0,7.5,0.05
28,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8,170.5,0.8695652173913043,,,,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,1.0,75.0,100.0,52,40,0,1,8.0,36.0,0.0,20181108015601.0,11077.0,7.5,0.05
29,,,,3.0,14.5,0.8695652173913043,-14.5,0.8,170.5,0.8,170.5,0.8695652173913043,,,1:2,,9.0,3.0,11.0,14.0,3.0,3.0,4,5.0,0.0,2.0,75.0,100.0,52,40,0,1,8.0,36.0,0.0,20181108015601.0,21086.0,7.5,0.05
30,,,,3.0,16.5,0.8,-16.5,0.8695652173913043,170.5,0.8333333333333334,170.5,0.8333333333333334,,,1:2^2:2,,9.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,80.0,100.0,53,40,0,1,8.0,36.0,0.0,20181108015605.0,11079^11078,7.5,0.05
31,,,,3.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,,,2:2^,,9.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,53,40,0,1,8.0,36.0,1.0,20181108015615.0,11080^21077,7.75,0.044444444444444446
32,,,,3.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,53,40,0,1,8.0,36.0,1.0,20181108015615.0,1077.0,8.0,0.04
33,,,,3.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,53,40,0,1,8.0,24.0,1.0,20181108015615.0,1077.0,8.0,0.04
34,,,,3.0,15.5,0.8333333333333334,-15.5,0.8333333333333334,170.5,0.8333333333333334,170.5,0.8333333333333334,,,,,9.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,53,40,0,1,8.0,25.0,1.0,20181108015629.0,1077.0,8.0,0.04
35,,,,3.0,18.5,0.8,-18.5,0.8695652173913043,173.5,0.8333333333333334,173.5,0.8333333333333334,13.0,,^,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,8.0,19.0,1.0,20181108015632.0,11075^21077,10.0,0.02
36,,,,3.0,18.5,0.8,-18.5,0.8695652173913043,172.5,0.8333333333333334,172.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,8.0,10.0,1.0,20181108015641.0,21077.0,10.0,0.02
37,,,,3.0,18.5,0.8,-18.5,0.8695652173913043,172.5,0.8,172.5,0.8695652173913043,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,8.0,3.0,1.0,20181108015649.0,21095.0,10.0,0.02
38,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,59.0,1.0,20181108015653.0,21095.0,10.5,0.016666666666666666
39,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,59.0,1.0,20181108015653.0,11077.0,10.5,0.016666666666666666
40,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,50.0,1.0,20181108015653.0,11077.0,10.5,0.016666666666666666
41,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,14.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,50.0,1.0,20181108015704.0,11077.0,10.5,0.016666666666666666
42,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,50.0,1.0,20181108015704.0,11077.0,10.5,0.016666666666666666
43,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8,171.5,0.8695652173913043,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,32.0,1.0,20181108015719.0,11077.0,10.5,0.016666666666666666
44,,,,3.0,18.5,0.8695652173913043,-18.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,26.0,0.0,20181108015724.0,11077.0,10.5,0.016666666666666666
45,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,26.0,0.0,20181108015726.0,21077.0,8.5,0.03571428571428571
46,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,171.5,0.8333333333333334,171.5,0.8333333333333334,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,26.0,1.0,20181108015732.0,21077.0,8.5,0.03571428571428571
47,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,170.5,0.8695652173913043,170.5,0.8,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,17.0,1.0,20181108015740.0,21077.0,8.5,0.03571428571428571
48,,,,3.0,15.5,0.8695652173913043,-15.5,0.8,170.5,0.8,170.5,0.8695652173913043,13.0,,,,10.0,3.0,11.0,15.0,4.0,3.0,4,5.0,0.0,2.0,66.7,100.0,56,40,0,1,7.0,8.0,0.0,20181108015748.0,21077.0,8.5,0.03571428571428571
