,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,22.5,0.0,-22.5,0.0,,,,8,9,,21,10,,14,10,3,0,,4,5,,77.8,83.3,80,57,0,1,2.0,32.0,0,20181108014645,21077
1,4.0,23.5,0.0,-23.5,0.0,6.0,^,,8,9,,21,10,,14,10,3,0,6.0,4,5,,77.8,83.3,80,57,0,1,2.0,32.0,0,20181108014659.0,21086^11077
2,4.0,23.5,0.0,-23.5,0.0,6.0,,,8,9,,21,10,,14,10,3,0,6.0,4,5,,77.8,83.3,80,57,0,1,2.0,32.0,1.0,20181108014703.0,11077.0
3,4.0,23.5,0.0,-23.5,0.0,6.0,,,8,9,,21,10,,14,10,3,0,6.0,4,5,,77.8,83.3,80,57,0,1,2.0,26.0,0.0,20181108014709.0,11077.0
4,4.0,24.5,0.0,-24.5,0.0,5.0,^,,8,9,22.0,21,10,,14,10,3,0,6.0,4,5,,77.8,83.3,82,57,0,1,2.0,26.0,0.0,20181108014711.0,11074^21077
5,4.0,25.5,0.0,-25.5,0.0,5.0,^,,8,9,22.0,21,10,,14,10,3,0,7.0,4,5,,77.8,83.3,82,57,0,1,2.0,26.0,0.0,20181108014712.0,21086^11077
6,4.0,25.5,0.0,-25.5,0.0,5.0,1:1,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,26.0,0.0,20181108014712.0,11078.0
7,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,26.0,1.0,20181108014712.0,21077.0
8,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,25.0,0.0,20181108014749.0,21077.0
9,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,25.0,1.0,20181108014751.0,21077.0
10,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,16.0,1.0,20181108014800.0,21077.0
11,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,8.0,1.0,20181108014808.0,21077.0
12,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,5.0,1.0,20181108014812.0,21094.0
13,4.0,25.5,0.0,-25.5,0.0,5.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,4.0,1.0,20181108014813.0,21077.0
14,4.0,26.5,0.0,-26.5,0.0,4.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,2.0,3.0,1.0,20181108014814.0,11077.0
15,4.0,26.5,0.0,-26.5,0.0,1.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,1.0,54.0,1.0,20181108014822.0,11077.0
16,4.0,26.5,0.0,-26.5,0.0,1.0,,,8,9,22.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,82,57,0,1,1.0,53.0,0.0,20181108014824.0,11077.0
17,4.0,27.5,0.0,-27.5,0.0,1.0,^,,8,9,23.0,21,10,15.0,14,10,3,0,7.0,4,5,78.9,77.8,83.3,85,57,0,1,1.0,53.0,0.0,20181108014826.0,11074^21077
18,4.0,28.5,0.0,-28.5,0.0,1.0,^,,8,9,23.0,21,10,15.0,14,10,3,0,8.0,4,5,78.9,77.8,83.3,85,57,0,1,1.0,53.0,0.0,20181108014827.0,21086^11077
19,4.0,28.5,0.0,-28.5,0.0,1.0,1:1,,8,9,23.0,21,10,15.0,14,10,3,0,8.0,4,5,78.9,77.8,83.3,85,57,0,1,1.0,53.0,0.0,20181108014828.0,11078.0
20,4.0,28.5,0.0,-28.5,0.0,1.0,1:1^,,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,57,0,1,1.0,53.0,0.0,20181108014855.0,11079^21077
21,4.0,28.5,0.0,-28.5,0.0,1.0,,,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,57,0,1,1.0,53.0,1.0,20181108014855.0,21077.0
22,4.0,28.5,0.0,-28.5,0.0,1.0,,,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,57,0,1,1.0,52.0,0.0,20181108014856.0,21077.0
23,4.0,28.5,0.0,-28.5,0.0,1.0,,,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,57,0,1,1.0,52.0,1.0,20181108014857.0,21077.0
24,4.0,28.5,0.0,-28.5,0.0,1.0,,,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,57,0,1,1.0,43.0,1.0,20181108014905.0,21077.0
25,4.0,26.5,0.0,-26.5,0.0,1.0,^,10.0,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,60,0,1,1.0,41.0,1.0,20181108014908.0,21075^11077
26,4.0,26.5,0.0,-26.5,0.0,1.0,,10.0,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,60,0,1,1.0,41.0,1.0,20181108014909.0,11077.0
27,4.0,26.5,0.0,-26.5,0.0,1.0,,10.0,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,60,0,1,1.0,32.0,1.0,20181108014917.0,11077.0
28,4.0,26.5,0.0,-26.5,0.0,1.0,,10.0,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,60,0,1,1.0,26.0,1.0,20181108014923.0,11095.0
29,4.0,25.5,0.0,-25.5,0.0,1.0,,10.0,8,9,23.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,60,0,1,1.0,26.0,1.0,20181108014924.0,21077.0
30,4.0,24.5,0.0,-24.5,0.0,1.0,^,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,62,0,1,1.0,19.0,1.0,20181108014930.0,21074^11077
31,4.0,24.5,0.0,-24.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,62,0,1,1.0,19.0,1.0,20181108014931.0,11077.0
32,4.0,24.5,0.0,-24.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,62,0,1,1.0,16.0,0.0,20181108014933.0,11077.0
33,4.0,24.5,0.0,-24.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,62,0,1,1.0,16.0,1.0,20181108014937.0,11077.0
34,4.0,24.5,0.0,-24.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,86,62,0,1,1.0,5.0,1.0,20181108014942.0,11077.0
35,4.0,26.5,0.0,-26.5,0.0,1.0,^,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,1.0,12.0,1.0,20181108014946.0,11075^21077
36,4.0,26.5,0.0,-26.5,0.0,1.0,,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,1.0,12.0,1.0,20181108014947.0,21077.0
37,4.0,26.5,0.0,-26.5,0.0,1.0,,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,1.0,3.0,1.0,20181108014955.0,21077.0
38,4.0,26.5,0.0,-26.5,0.0,1.0,,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,0.0,59.0,1.0,20181108014959.0,21094.0
39,4.0,27.5,0.0,-27.5,0.0,1.0,,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,0.0,50.0,1.0,20181108015008.0,11077.0
40,4.0,27.5,0.0,-27.5,0.0,1.0,,9.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,89,62,0,1,0.0,45.0,1.0,20181108015010.0,11077.0
41,4.0,29.5,0.0,-29.5,0.0,1.0,^,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,43.0,1.0,20181108015018.0,11075^21077
42,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,42.0,0.0,20181108015019.0,21077.0
43,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,41.0,0.0,20181108015024.0,21077.0
44,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,43.0,1.0,20181108015040.0,21077.0
45,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,34.0,1.0,20181108015048.0,21077.0
46,4.0,29.5,0.0,-29.5,0.0,1.0,,10.0,8,9,11.0,21,10,16.0,14,10,3,0,8.0,4,5,80.0,77.8,83.3,92,62,0,1,0.0,26.0,1.0,20181108015057.0,21077.0
