,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.8333333333333334,,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,20.0,0.0,0,20181108014557,01083,0.14285714285714285,4.75
1,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.8333333333333334,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,20.0,0.0,1.0,20181108020145.0,21077.0,0.14285714285714285,4.75
2,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.8695652173913043,149.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,58.0,0.0,20181108020147.0,21077.0,0.14285714285714285,4.75
3,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.8695652173913043,149.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,58.0,1.0,20181108020203.0,21077.0,0.14285714285714285,4.75
4,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,50.0,0.0,20181108020211.0,21077.0,0.15384615384615385,4.5
5,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,149.5,0.8333333333333334,149.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,50.0,1.0,20181108020222.0,21077.0,0.15384615384615385,4.5
6,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,148.5,0.8695652173913043,148.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,41.0,1.0,20181108020231.0,21077.0,0.15384615384615385,4.5
7,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,147.5,0.9090909090909091,147.5,0.8333333333333334,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,33.0,1.0,20181108020239.0,21077.0,0.15384615384615385,4.5
8,,,2.0,-7.5,0.8333333333333334,7.5,0.9090909090909091,147.5,0.8695652173913043,147.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,31.0,1.0,20181108020241.0,21094.0,0.15384615384615385,4.5
9,,,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,146.5,0.9090909090909091,146.5,0.8333333333333334,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,22.0,1.0,20181108020250.0,11077.0,0.15384615384615385,4.5
10,,,2.0,-7.5,0.8695652173913043,7.5,0.8695652173913043,146.5,0.9090909090909091,146.5,0.8333333333333334,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,22.0,0.0,20181108020250.0,11077.0,0.15384615384615385,4.5
11,,,2.0,-5.5,0.8,5.5,0.9523809523809523,146.5,0.9090909090909091,146.5,0.8333333333333334,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,22.0,0.0,20181108020303.0,21086^11077,0.15384615384615385,4.5
12,,,2.0,-5.5,0.8695652173913043,5.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8695652173913043,14.0,1:1,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,50.0,100.0,34.0,32,0,1,19.0,22.0,0.0,20181108020307.0,11078.0,0.2702702702702703,2.8
13,,,2.0,-6.5,0.9523809523809523,6.5,0.8,146.5,0.8333333333333334,146.5,0.9090909090909091,14.0,1:1^,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,22.0,1.0,20181108020320.0,11080^21077,0.23529411764705882,3.2
14,,,2.0,-5.5,0.8,5.5,0.9523809523809523,146.5,0.8333333333333334,146.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,16.0,1.0,20181108020322.0,21077.0,0.23529411764705882,3.2
15,,,2.0,-5.5,0.8,5.5,0.9523809523809523,148.5,0.8695652173913043,148.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,7.0,1.0,20181108020330.0,21077.0,0.23529411764705882,3.2
16,,,2.0,-5.5,0.8,5.5,0.9523809523809523,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,6.0,0.0,20181108020332.0,21077.0,0.23529411764705882,3.2
17,,,2.0,-5.5,0.8,5.5,0.9523809523809523,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,6.0,1.0,20181108020336.0,21077.0,0.23529411764705882,3.2
18,,,2.0,-5.5,0.8,5.5,0.9523809523809523,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,6.0,0.0,20181108020337.0,21077.0,0.23529411764705882,3.2
19,,,2.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,^,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,6.0,0.0,20181108020340.0,21086^11077,0.25,3.1
20,,,2.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,19.0,6.0,1.0,20181108020350.0,11077.0,0.25,3.1
21,,,2.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,147.5,0.8695652173913043,147.5,0.8695652173913043,14.0,,,6.0,1.0,7.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,57.0,1.0,20181108020359.0,11077.0,0.25,3.1
22,,,2.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,147.5,0.8695652173913043,147.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,57.0,1.0,20181108020359.0,21077.0,0.25,3.1
23,,,2.0,-5.5,0.9523809523809523,5.5,0.8,147.5,0.8333333333333334,147.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,43.0,1.0,20181108020412.0,21077.0,0.37037037037037035,2.15
24,,,2.0,-3.5,0.8,3.5,0.9523809523809523,147.5,0.8333333333333334,147.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,43.0,1.0,20181108020412.0,11077.0,0.38461538461538464,2.1
25,,,2.0,-3.5,0.8,3.5,0.9523809523809523,147.5,0.8333333333333334,147.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,43.0,1.0,20181108020414.0,11077.0,0.38461538461538464,2.1
26,,,2.0,-3.5,0.8,3.5,0.9523809523809523,148.5,0.8695652173913043,148.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,34.0,1.0,20181108020422.0,11077.0,0.4,2.05
27,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,31.0,1.0,20181108020425.0,11095.0,0.4,2.05
28,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,148.5,0.8333333333333334,148.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,31.0,1.0,20181108020426.0,11095.0,0.4,2.05
29,,,2.0,-3.5,0.8,3.5,0.9523809523809523,147.5,0.8695652173913043,147.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,22.0,1.0,20181108020434.0,11095.0,0.38461538461538464,2.1
30,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,147.5,0.8695652173913043,147.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,20.0,1.0,20181108020436.0,21095.0,0.4166666666666667,1.95
31,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,147.5,0.8333333333333334,147.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,18.0,0.0,20181108020438.0,11077.0,0.4166666666666667,1.95
32,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,147.5,0.8333333333333334,147.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,18.0,1.0,20181108020457.0,11077.0,0.4166666666666667,1.95
33,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,9.0,1.0,20181108020505.0,11077.0,0.425531914893617,1.9
34,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,8.0,0.0,20181108020507.0,11077.0,0.425531914893617,1.9
35,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,146.5,0.8695652173913043,146.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,8.0,1.0,20181108020521.0,11077.0,0.425531914893617,1.9
36,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,145.5,0.9523809523809523,145.5,0.8,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,2.0,1.0,20181108020527.0,11094.0,0.43478260869565216,1.85
37,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,145.5,0.9090909090909091,145.5,0.8333333333333334,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,18.0,2.0,1.0,20181108020528.0,21077.0,0.4,2.05
38,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,145.5,0.8695652173913043,145.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,17.0,57.0,0.0,20181108020532.0,21077.0,0.4,2.05
39,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,145.5,0.8695652173913043,145.5,0.8695652173913043,14.0,^,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,17.0,57.0,0.0,20181108020535.0,21086^11077,0.4444444444444444,1.8
40,,,2.0,-3.5,0.8695652173913043,3.5,0.8695652173913043,145.5,0.8695652173913043,145.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,17.0,57.0,1.0,20181108020556.0,11077.0,0.4444444444444444,1.8
41,,,2.0,-3.5,0.9090909090909091,3.5,0.8333333333333334,145.5,0.8333333333333334,145.5,0.9090909090909091,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,17.0,48.0,1.0,20181108020604.0,11077.0,0.4444444444444444,1.8
42,,,2.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,144.5,0.8695652173913043,144.5,0.8695652173913043,14.0,,,6.0,1.0,9.0,13.0,2.0,3.0,4.0,4.0,0.0,0.0,40.0,100.0,34.0,32,0,1,17.0,43.0,1.0,20181108020610.0,21077.0,0.40816326530612246,2.0
