,AM,AS,DO,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,HO,KC,LM,PG,PI,RO,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TC,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,,3.0,-3.5,0.8333333333333334,3.5,0.9090909090909091,204.5,0.8695652173913043,204.5,0.8695652173913043,,,,,,,6.0,9.0,12.0,18.0,16.0,6.0,,,,,,,,,0,,1,4.0,48.0,1,20181109033555,21077,0.425531914893617,1.9
1,,,,3.0,-3.5,0.8,3.5,0.9523809523809523,203.5,0.9090909090909091,203.5,0.8333333333333334,,,,,,,6.0,9.0,12.0,18.0,16.0,6.0,,,,,,,,,0,,1,4.0,39.0,1,20181109033603.0,21077,0.4166666666666667,1.95
2,,,,3.0,-3.5,0.8,3.5,0.9523809523809523,203.5,0.8333333333333334,203.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,18.0,16.0,6.0,,,,,,,,,0,,1,4.0,31.0,1,20181109033612.0,21077,0.4166666666666667,1.95
3,,,,3.0,-4.5,0.8333333333333334,4.5,0.9090909090909091,204.5,0.9090909090909091,204.5,0.8333333333333334,,,,^,,,6.0,9.0,12.0,19.0,16.0,6.0,,,,,,,58.0,71.0,0,,1,4.0,28.0,1,20181109033614.0,21074^11077,0.3225806451612903,2.35
4,,,,3.0,-4.5,0.8333333333333334,4.5,0.9090909090909091,204.5,0.9090909090909091,204.5,0.8333333333333334,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,,,,,58.0,71.0,0,,1,4.0,28.0,1,20181109033615.0,11077.0,0.3225806451612903,2.35
5,,,,3.0,-4.5,0.8333333333333334,4.5,0.9090909090909091,204.5,0.8333333333333334,204.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,,,,,58.0,71.0,0,,1,4.0,19.0,1,20181109033623.0,11077.0,0.3225806451612903,2.35
6,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,204.5,0.8333333333333334,204.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,,,,,58.0,71.0,0,,1,4.0,18.0,1,20181109033624.0,21077.0,0.2702702702702703,2.8
7,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.9090909090909091,203.5,0.8333333333333334,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,,,,,58.0,71.0,0,,1,4.0,15.0,0.0,20181109033627.0,21077.0,0.2702702702702703,2.8
8,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.9090909090909091,203.5,0.8333333333333334,,,,^,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,15.0,0.0,20181109033634.0,11086^21077,0.2702702702702703,2.8
9,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.9090909090909091,203.5,0.8333333333333334,,,,^,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,15.0,1.0,20181109033651.0,11086^21077,0.2702702702702703,2.8
10,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.8333333333333334,203.5,0.9090909090909091,,,,^,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,6.0,1.0,20181109033659.0,11086^21077,0.2702702702702703,2.8
11,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.8333333333333334,203.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,6.0,1.0,20181109033659.0,21094.0,0.2702702702702703,2.8
12,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.8333333333333334,203.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,6.0,0.0,20181109033701.0,21094.0,0.2702702702702703,2.8
13,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,203.5,0.8333333333333334,203.5,0.9090909090909091,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,4.0,6.0,1.0,20181109033715.0,21094.0,0.2702702702702703,2.8
14,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,202.5,0.8695652173913043,202.5,0.8695652173913043,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,3.0,57.0,1.0,20181109033724.0,21094.0,0.2702702702702703,2.8
15,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,202.5,0.8695652173913043,202.5,0.8695652173913043,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,3.0,54.0,1.0,20181109033726.0,11095.0,0.30303030303030304,2.5
16,,,,3.0,-5.5,0.8333333333333334,5.5,0.9090909090909091,202.5,0.8695652173913043,202.5,0.8695652173913043,,,,,,,6.0,9.0,12.0,19.0,16.0,6.0,,,2.0,,,,58.0,71.0,0,,1,3.0,45.0,1.0,20181109033735.0,21077.0,0.2631578947368421,2.9
17,,,,3.0,-6.5,0.8333333333333334,6.5,0.9090909090909091,203.5,0.8,203.5,0.9523809523809523,,,,^,,,6.0,9.0,12.0,20.0,16.0,6.0,,,2.0,,,,58.0,73.0,0,,1,3.0,38.0,1.0,20181109033743.0,21074^11077,0.18181818181818182,3.9
18,,,,3.0,-6.5,0.8333333333333334,6.5,0.9090909090909091,203.5,0.8,203.5,0.9523809523809523,,,,,,,6.0,9.0,12.0,20.0,16.0,6.0,,,2.0,,,,58.0,73.0,0,,1,3.0,38.0,1.0,20181109033743.0,11077.0,0.18181818181818182,3.9
