,ED,PG,S1_a,S1_h,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,8,3,20,27,,12,4,3,1,6,7,,70.6,100.0,76,67,0,1,0,1.0,0,20181108180156,21086^11078
1,,1:2^2:2,8,3,20,27,13.0,12,4,3,1,6,7,72.2,70.6,100.0,77,67,0,1,0,1.0,0,20181108180211.0,11079^11078
2,,2:2^,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,1.0,1.0,20181108180222.0,11080^21077
3,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,1.0,1.0,20181108180225.0,21077.0
4,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,1.0,1.0,20181108180225.0,1084.0
5,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,1.0,1.0,20181108180230.0,1084.0
6,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,0.0,1.0,20181108180230.0,1084.0
7,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,0.0,0.0,20181108180230.0,1084.0
8,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,0.0,0.0,20181108180230.0,1084.0
9,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,0.0,0.0,20181108180230.0,1084.0
10,,,8,3,20,27,13.0,12,4,3,1,6,7,68.4,70.6,100.0,77,67,0,1,0,0.0,0.0,20181108180230.0,1084.0
