,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,2.0,-12.5,0.7692307692307693,12.5,1.0,136.5,0.9523809523809523,136.5,0.8,,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,4.0,0.0,0,20181109023825,21081
1,,,2.0,-12.5,0.7692307692307693,12.5,1.0,136.5,0.9523809523809523,136.5,0.8,,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,4.0,0.0,1.0,20181109023825,21081
2,,,2.0,-12.5,0.7692307692307693,12.5,1.0,136.5,0.8333333333333334,136.5,0.9090909090909091,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,53.0,0.0,20181109024043.0,21081
3,,,2.0,-13.5,0.7692307692307693,13.5,1.0,136.5,0.8333333333333334,136.5,0.9090909090909091,6.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,53.0,0.0,20181109024045.0,21077.0
4,,,2.0,-13.5,0.7692307692307693,13.5,1.0,136.5,0.8333333333333334,136.5,0.9090909090909091,6.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,53.0,1.0,20181109024052.0,21077.0
5,,,2.0,-13.5,0.7692307692307693,13.5,1.0,135.5,0.9523809523809523,135.5,0.8,6.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,44.0,1.0,20181109024100.0,21077.0
6,,,2.0,-12.5,0.8,12.5,0.9523809523809523,135.5,0.8333333333333334,135.5,0.9090909090909091,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,37.0,1.0,20181109024108.0,11077.0
7,,,2.0,-12.5,0.8,12.5,0.9523809523809523,135.5,0.8,135.5,0.9523809523809523,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,36.0,0.0,20181109024108.0,11077.0
8,,,2.0,-12.5,0.8,12.5,0.9523809523809523,135.5,0.7407407407407407,135.5,1.05,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,33.0,0.0,20181109024111.0,11077.0
9,,,2.0,-12.5,0.8,12.5,0.9523809523809523,135.5,0.8695652173913043,135.5,0.8695652173913043,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,39.0,1.0,20181109024117.0,11077.0
10,,,2.0,-12.5,0.8,12.5,0.9523809523809523,134.5,1.0,134.5,0.7692307692307693,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,30.0,1.0,20181109024126.0,11077.0
11,,,2.0,-12.5,0.8,12.5,0.9523809523809523,134.5,0.8695652173913043,134.5,0.8695652173913043,7.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,22.0,1.0,20181109024134.0,11077.0
12,,,2.0,-13.5,0.8,13.5,0.9523809523809523,134.5,0.7692307692307693,134.5,1.0,4.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,18.0,1.0,20181109024139.0,21077.0
13,,,2.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8695652173913043,4.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,9.0,1.0,20181109024147.0,21077.0
14,,,2.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8695652173913043,4.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,8.0,0.0,20181109024149.0,21077.0
15,,,2.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8695652173913043,4.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,3.0,8.0,1.0,20181109024207.0,21077.0
16,,,2.0,-13.5,0.8333333333333334,13.5,0.9090909090909091,133.5,0.8695652173913043,133.5,0.8695652173913043,3.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,2.0,59.0,1.0,20181109024216.0,21077.0
17,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,2.0,50.0,1.0,20181109024225.0,11077.0
18,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,2.0,42.0,1.0,20181109024233.0,11077.0
19,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,4.0,71.4,58.3,54,66.0,0,1,2.0,42.0,0.0,20181109024233.0,11077.0
20,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,^,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,42.0,0.0,20181109024234.0,21086^11077
21,,,2.0,-13.5,0.8695652173913043,13.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,3.0,^,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,42.0,0.0,20181109024237.0,21086^11077
22,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,42.0,0.0,20181109024250.0,21077.0
23,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,41.0,0.0,20181109024254.0,11077.0
24,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,43.0,1.0,20181109024306.0,11077.0
25,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,,,5,9,12,16,15.0,7.0,3.0,-2,6.0,5.0,71.4,58.3,54,66.0,0,1,2.0,41.0,0.0,20181109024309.0,11077.0
26,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,^,1.0,5,9,12,16,15.0,7.0,3.0,-2,6.0,6.0,71.4,58.3,54,66.0,0,1,2.0,41.0,0.0,20181109024310.0,21086^11077
27,,,2.0,-12.5,0.9523809523809523,12.5,0.8,133.5,0.8695652173913043,133.5,0.8695652173913043,6.0,1:2,1.0,5,9,12,16,15.0,7.0,3.0,-2,6.0,6.0,71.4,58.3,54,66.0,0,1,2.0,41.0,0.0,20181109024311.0,11078.0
28,,,2.0,-12.5,0.7692307692307693,12.5,1.0,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,1:2^2:2,1.0,5,9,12,16,15.0,7.0,3.0,-2,6.0,6.0,68.2,58.3,54,66.0,0,1,2.0,41.0,0.0,20181109024341.0,11080^11078
29,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,41.0,0.0,20181109024406.0,11079^21077
30,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,40.0,0.0,20181109024406.0,11079^21077
31,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,40.0,1.0,20181109024410.0,11079^21077
32,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,31.0,1.0,20181109024419.0,11079^21077
33,,,2.0,-12.5,0.8695652173913043,12.5,0.8695652173913043,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,23.0,1.0,20181109024427.0,11079^21077
34,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,15.0,1.0,20181109024435.0,11079^21077
35,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,15.0,1.0,20181109024435.0,21094.0
36,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,7.0,3.0,-2,6.0,6.0,69.6,58.3,55,66.0,0,1,2.0,14.0,0.0,20181109024437.0,21094.0
37,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,^,1.0,5,9,12,16,16.0,7.0,3.0,-2,7.0,6.0,69.6,58.3,55,66.0,0,1,2.0,14.0,0.0,20181109024438.0,11086^21077
38,,,2.0,-12.5,0.8,12.5,0.9523809523809523,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,1:2,1.0,5,9,12,16,16.0,8.0,3.0,-2,7.0,6.0,69.6,61.5,55,66.0,0,1,2.0,14.0,0.0,20181109024438.0,21078.0
39,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,9.0,3.0,-2,7.0,6.0,69.6,64.3,55,68.0,0,1,2.0,14.0,0.0,20181109024506.0,21079^11077
40,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,9.0,3.0,-2,7.0,6.0,69.6,64.3,55,68.0,0,1,2.0,13.0,0.0,20181109024507.0,21079^11077
41,,,2.0,-12.5,0.9090909090909091,12.5,0.8333333333333334,133.5,0.8695652173913043,133.5,0.8695652173913043,5.0,2:2^,1.0,5,9,12,16,16.0,9.0,3.0,-2,7.0,6.0,69.6,64.3,55,68.0,0,1,2.0,13.0,1.0,20181109024511.0,21079^11077
