,AM,AS,ED,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,48.0,0,20181109023909,11081
1,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,48.0,0,20181109024133.0,21077.0
2,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,48.0,1.0,20181109024134.0,21077.0
3,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,45.0,0.0,20181109024136.0,21077.0
4,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,43.0,0.0,20181109024139.0,21077.0
5,,,,,,,16,12,,15,25,,8,9,1,2,,8,6,,66.7,52.9,86,95,0,1,0,42.0,0.0,20181109024142.0,21077.0
6,,,,,^,,16,12,,15,25,,8,9,1,2,9.0,8,6,,66.7,52.9,86,95,0,1,0,48.0,0.0,20181109024145.0,11086^21077
7,,,,,1:2,,16,12,,15,25,,8,9,1,2,9.0,8,6,,66.7,52.9,86,95,0,1,0,48.0,0.0,20181109024146.0,21078.0
8,,,,,1:2^2:2,,16,12,,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,95,0,1,0,48.0,0.0,20181109024213.0,21080^21078
9,,,,,,,16,12,,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,95,0,1,0,48.0,1.0,20181109024213.0,11077.0
10,,,,,,,16,12,,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,95,0,1,0,39.0,1.0,20181109024234.0,11077.0
11,,,,,^,,16,12,26.0,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,98,0,1,0,34.0,1.0,20181109024240.0,21074^11077
12,,,,3.0,^,,16,12,26.0,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,98,0,1,0,22.0,1.0,20181109024246.0,21074^11077
13,,,,3.0,^,,16,12,26.0,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,86,98,0,1,0,13.0,1.0,20181109024254.0,21074^11077
14,,,,3.0,^,17.0,16,12,26.0,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,89,98,0,1,0,25.0,1.0,20181109024255.0,11075^21077
15,,,,3.0,,17.0,16,12,26.0,15,25,,8,9,1,2,9.0,8,6,50.0,66.7,52.9,89,98,0,1,0,22.0,0.0,20181109024258.0,21077.0
16,,,,3.0,^,17.0,16,12,26.0,15,25,,8,9,1,2,10.0,8,6,50.0,66.7,52.9,89,98,0,1,0,22.0,0.0,20181109024303.0,11086^21077
17,,,,3.0,1:2,17.0,16,12,26.0,15,25,,8,9,1,2,10.0,8,6,50.0,66.7,52.9,89,98,0,1,0,22.0,0.0,20181109024304.0,21078.0
18,,,,3.0,1:2^2:2,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,22.0,0.0,20181109024327.0,21079^21078
19,,,,3.0,,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,22.0,1.0,20181109024327.0,11077.0
20,,,,3.0,,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,20.0,0.0,20181109024343.0,11077.0
21,,,,3.0,,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,20.0,1.0,20181109024345.0,11077.0
22,,,,3.0,,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,14.0,1.0,20181109024347.0,11077.0
23,,,,3.0,,17.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,89,99,0,1,0,10.0,1.0,20181109024349.0,11077.0
24,,,,3.0,^,18.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,92,100,0,1,0,18.0,1.0,20181109024353.0,11075^21077
25,,,,3.0,^,18.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,92,100,0,1,0,17.0,0.0,20181109024353.0,11075^21077
26,,,,3.0,^,18.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,92,100,0,1,0,17.0,1.0,20181109024355.0,11075^21077
27,,,,3.0,^,18.0,16,12,26.0,15,25,11.0,8,9,1,2,10.0,8,6,55.0,66.7,52.9,92,100,0,1,0,12.0,0.0,20181109024400.0,11075^21077
28,,,,3.0,^,18.0,16,12,26.0,15,25,11.0,8,9,1,2,11.0,8,6,55.0,66.7,52.9,92,100,0,1,0,12.0,0.0,20181109024403.0,11086^21077
29,,,,3.0,1:2,18.0,16,12,26.0,15,25,11.0,8,9,1,2,11.0,8,6,55.0,66.7,52.9,92,100,0,1,0,12.0,0.0,20181109024406.0,21078.0
30,,,,3.0,1:2^2:2,18.0,16,12,26.0,15,25,11.0,8,9,1,2,11.0,8,6,54.5,66.7,52.9,92,100,0,1,0,12.0,0.0,20181109024428.0,21080^21078
31,,,,3.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,12.0,0.0,20181109024443.0,21079^11077
32,,,,3.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,12.0,0.0,20181109024444.0,21079^11077
33,,,,3.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,12.0,1.0,20181109024445.0,21079^11077
34,,,,3.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,12.0,1.0,20181109024453.0,21077.0
35,,,,2.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,0.0,0.0,20181109024458.0,21077.0
36,,,,2.0,2:2^,18.0,16,12,26.0,15,25,13.0,8,9,1,2,11.0,8,6,56.5,66.7,52.9,92,101,0,1,0,0.0,0.0,20181109024502.0,21077.0
