,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6,S6_a,S6_h,SC,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-62.5,0.8333333333333334,62.5,0.8333333333333334,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,34.0,1,20181109024020,21074^11077
1,,,4.0,-62.5,0.8695652173913043,62.5,0.8,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,25.0,1,20181109024029.0,21074^11077
2,,,4.0,-62.5,1.0,62.5,0.7142857142857143,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,17.0,1,20181109024037.0,21074^11077
3,,,4.0,-61.5,0.7142857142857143,61.5,1.0,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,14.0,1,20181109024040.0,21074^11077
4,,,4.0,-61.5,0.7692307692307693,61.5,0.9090909090909091,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,12.0,0.0,20181109024042.0,21074^11077
5,44.0,5.0,4.0,-59.5,0.8333333333333334,59.5,0.8333333333333334,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,12.0,1.0,20181109024345.0,11081.0
6,,,4.0,-59.5,0.8333333333333334,59.5,0.8333333333333334,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,11.0,1.0,20181109024346.0,11077.0
7,,,4.0,-59.5,0.8695652173913043,59.5,0.8,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,2.0,1.0,20181109024355.0,11077.0
8,,,4.0,-60.5,0.8695652173913043,60.5,0.8,,,,14,1,,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,107,0,1,4.0,0.0,1.0,20181109024357.0,21077.0
9,,,4.0,-61.5,0.9090909090909091,61.5,0.7692307692307693,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,58.0,1.0,20181109024359.0,21074^11077
10,,,4.0,-60.5,0.7142857142857143,60.5,1.0,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,49.0,1.0,20181109024407.0,21074^11077
11,,,4.0,-60.5,0.7692307692307693,60.5,0.9090909090909091,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,44.0,1.0,20181109024412.0,21074^11077
12,,,4.0,-60.5,0.8,60.5,0.8695652173913043,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,36.0,1.0,20181109024421.0,21074^11077
13,,,4.0,-60.5,0.8,60.5,0.8695652173913043,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,34.0,0.0,20181109024422.0,21074^11077
14,,,4.0,-60.5,0.8,60.5,0.8695652173913043,,^,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,34.0,1.0,20181109024443.0,21074^11077
15,,,4.0,-61.5,0.8333333333333334,61.5,0.8333333333333334,,,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,28.0,1.0,20181109024449.0,21077.0
16,,,4.0,-61.5,0.8333333333333334,61.5,0.8333333333333334,,,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,20.0,1.0,20181109024457.0,21077.0
17,,,4.0,-61.5,0.8695652173913043,61.5,0.8,,,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,15.0,0.0,20181109024502.0,21077.0
18,,,4.0,-61.5,0.8695652173913043,61.5,0.8,,,,14,1,45.0,4,44,,2,16,4,5,3,1,,66.7,64.0,,52,109,0,1,3.0,15.0,1.0,20181109024528.0,21077.0
