,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,-9.5,0.8,9.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,36.0,0,20181110015900,11086^21077,0.15384615384615385,3.75
1,,,3.0,-10.5,0.8333333333333334,10.5,0.8333333333333334,152.5,0.8333333333333334,152.5,0.8333333333333334,,1:2,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,36.0,0,20181110015903.0,21078.0,0.13333333333333333,4.25
2,,,3.0,-9.5,0.8,9.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,,1:2,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,36.0,0,20181110015916.0,21078.0,0.15384615384615385,3.75
3,,,3.0,-9.5,0.8,9.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,,1:2,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,36.0,1.0,20181110015918.0,21078.0,0.15384615384615385,3.75
4,,,3.0,-9.5,0.8,9.5,0.8695652173913043,151.5,0.8333333333333334,151.5,0.8333333333333334,,1:2,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,35.0,1.0,20181110015918.0,21078.0,0.15384615384615385,3.75
5,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,,,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,35.0,1.0,20181110015918.0,11077.0,0.16666666666666666,3.5
6,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,,,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,33.0,1.0,20181110015920.0,21077.0,0.15384615384615385,3.75
7,,,3.0,-9.5,0.8333333333333334,9.5,0.8333333333333334,149.5,0.8333333333333334,149.5,0.8333333333333334,,,,2.0,5,10.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,33,43,0,1,8.0,20.0,1.0,20181110015933.0,21077.0,0.15384615384615385,3.75
8,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,152.5,0.8333333333333334,152.5,0.8333333333333334,13.0,^,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,19.0,1.0,20181110015934.0,11074^21077,0.21052631578947367,3.25
9,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,152.5,0.8333333333333334,152.5,0.8333333333333334,13.0,,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,18.0,1.0,20181110015935.0,21077.0,0.21052631578947367,3.25
10,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,151.5,0.8333333333333334,151.5,0.8333333333333334,13.0,,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,9.0,1.0,20181110015943.0,21077.0,0.21052631578947367,3.25
11,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,13.0,,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,1.0,1.0,20181110015952.0,21077.0,0.21052631578947367,3.25
12,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,13.0,,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,1.0,1.0,20181110015959.0,21077.0,0.21052631578947367,3.25
13,,,3.0,-8.5,0.8333333333333334,8.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.8333333333333334,13.0,,,2.0,5,11.0,13.0,7.0,2.0,3.0,4.0,1.0,1.0,63.6,66.7,35,43,0,1,8.0,1.0,1.0,20181110020007.0,21077.0,0.21052631578947367,3.25
