,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,1.0,-4.5,0.8695652173913043,4.5,0.8695652173913043,150.5,0.8695652173913043,150.5,0.8695652173913043,,,,,,,,,,,,,,,,,,0,1,20.0,0.0,0,20181110015744,,0.47619047619047616,1.7
1,,,1.0,-22.5,0.8695652173913043,22.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8695652173913043,,,,,,,,,,,,,,,,,,0,1,20.0,0.0,0,20181110020534.0,,0.005,20.0
2,,,1.0,-22.5,0.8695652173913043,22.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8695652173913043,,,,,,,,,,,,,,,,,,0,1,20.0,0.0,0,20181110020704.0,,0.005,20.0
3,,,1.0,-22.5,0.8695652173913043,22.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8695652173913043,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,20.0,0.0,0,20181110020704.0,,0.005,20.0
4,,,1.0,-22.5,0.8695652173913043,22.5,0.8695652173913043,152.5,0.9090909090909091,152.5,0.8333333333333334,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,0,1,19.0,51.0,0,20181110020713.0,,0.005,20.0
5,,,1.0,-21.5,0.9090909090909091,21.5,0.8333333333333334,154.5,0.9090909090909091,154.5,0.8333333333333334,,^,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,43.0,0,20181110020722.0,11074^21077,0.006666666666666667,18.0
6,,,1.0,-21.5,0.9090909090909091,21.5,0.8333333333333334,154.5,0.9090909090909091,154.5,0.8333333333333334,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,42.0,0,20181110020723.0,21077.0,0.006666666666666667,18.0
7,,,1.0,-21.5,0.9090909090909091,21.5,0.8333333333333334,154.5,0.8695652173913043,154.5,0.8695652173913043,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,34.0,0,20181110020731.0,21077.0,0.006666666666666667,18.0
8,,,1.0,-21.5,0.9090909090909091,21.5,0.8333333333333334,153.5,0.8695652173913043,153.5,0.8695652173913043,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,25.0,0,20181110020740.0,21077.0,0.006666666666666667,18.0
9,,,1.0,-21.5,0.9090909090909091,21.5,0.8333333333333334,153.5,0.8695652173913043,153.5,0.8695652173913043,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,23.0,0,20181110020741.0,21095.0,0.006666666666666667,18.0
10,,,1.0,-20.5,0.8333333333333334,20.5,0.9090909090909091,153.5,0.8695652173913043,153.5,0.8695652173913043,92.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,23.0,0,20181110020742.0,11077.0,0.006666666666666667,18.0
11,,,1.0,-20.5,0.8333333333333334,20.5,0.9090909090909091,152.5,0.9090909090909091,152.5,0.8333333333333334,92.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,14.0,0,20181110020750.0,11077.0,0.006666666666666667,18.0
12,,,1.0,-20.5,0.8333333333333334,20.5,0.9090909090909091,152.5,0.8333333333333334,152.5,0.9090909090909091,92.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0,1,19.0,6.0,0,20181110020759.0,11077.0,0.006666666666666667,18.0
13,,,1.0,-19.5,0.8695652173913043,19.5,0.8695652173913043,154.5,0.8695652173913043,154.5,0.8695652173913043,94.0,^,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,19.0,5.0,0,20181110020759.0,11074^21077,0.01,17.0
14,,,1.0,-19.5,0.8695652173913043,19.5,0.8695652173913043,154.5,0.8695652173913043,154.5,0.8695652173913043,94.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,19.0,5.0,0,20181110020800.0,21077.0,0.01,17.0
15,,,1.0,-19.5,0.8695652173913043,19.5,0.8695652173913043,154.5,0.8333333333333334,154.5,0.9090909090909091,94.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,18.0,56.0,0,20181110020808.0,21077.0,0.01,17.0
16,,,1.0,-19.5,0.8695652173913043,19.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8695652173913043,94.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,18.0,48.0,0,20181110020817.0,21077.0,0.01,17.0
17,,,1.0,-19.5,0.8695652173913043,19.5,0.8695652173913043,153.5,0.8695652173913043,153.5,0.8695652173913043,94.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,4.0,0.0,0,1,18.0,48.0,0,20181110020819.0,21095.0,0.01,17.0
