,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,2.0,-34.5,0.9523809523809523,34.5,0.8,141.5,0.8,141.5,0.9523809523809523,,,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,20.0,0.0,0,20181110014907,01083
1,,,2.0,-34.5,0.9523809523809523,34.5,0.8,141.5,0.8,141.5,0.9523809523809523,,,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,20.0,0.0,0,20181110020509.0,01083
2,,,2.0,-34.5,0.9523809523809523,34.5,0.8,141.5,0.8,141.5,0.9523809523809523,55.0,^,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,20.0,0.0,1.0,20181110020509.0,01092^11077
3,,,2.0,-34.5,0.9523809523809523,34.5,0.8,140.5,0.8695652173913043,140.5,0.8695652173913043,55.0,^,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,19.0,51.0,1.0,20181110020518.0,01092^11077
4,,,2.0,-34.5,0.9523809523809523,34.5,0.8,139.5,0.9523809523809523,139.5,0.8,55.0,,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,19.0,47.0,1.0,20181110020522.0,21077.0
5,,,2.0,-33.5,0.8,33.5,0.9523809523809523,139.5,0.8695652173913043,139.5,0.8695652173913043,55.0,,2.0,2.0,6.0,15.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,43.0,0,1,19.0,38.0,1.0,20181110020531.0,21077.0
6,,,2.0,-35.5,0.8695652173913043,35.5,0.8695652173913043,141.5,0.8695652173913043,141.5,0.8695652173913043,55.0,^,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,36.0,1.0,20181110020533.0,21074^11077
7,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,140.5,0.9090909090909091,140.5,0.8333333333333334,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,27.0,1.0,20181110020542.0,11077.0
8,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,140.5,0.8333333333333334,140.5,0.9090909090909091,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,18.0,1.0,20181110020550.0,11077.0
9,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,139.5,0.9090909090909091,139.5,0.8333333333333334,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,14.0,1.0,20181110020555.0,21077.0
10,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.9090909090909091,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,5.0,1.0,20181110020603.0,21077.0
11,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,2.0,0.0,20181110020607.0,21077.0
12,,,2.0,-35.5,0.9090909090909091,35.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,16.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,45.0,0,1,19.0,2.0,1.0,20181110020629.0,21077.0
13,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,140.5,0.9090909090909091,140.5,0.8333333333333334,55.0,^,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,59.0,1.0,20181110020633.0,21074^11077
14,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,140.5,0.9090909090909091,140.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,58.0,1.0,20181110020633.0,11077.0
15,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,140.5,0.8695652173913043,140.5,0.8695652173913043,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,55.0,0.0,20181110020636.0,11077.0
16,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,140.5,0.8695652173913043,140.5,0.8695652173913043,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,55.0,1.0,20181110020649.0,11077.0
17,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,139.5,0.9090909090909091,139.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,46.0,1.0,20181110020658.0,11077.0
18,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,139.5,0.8333333333333334,139.5,0.9090909090909091,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,37.0,1.0,20181110020707.0,11077.0
19,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,34.0,0.0,20181110020710.0,11077.0
20,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.9090909090909091,138.5,0.8333333333333334,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,34.0,1.0,20181110020729.0,11077.0
21,,,2.0,-36.5,0.9090909090909091,36.5,0.8333333333333334,138.5,0.8333333333333334,138.5,0.9090909090909091,55.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,25.0,1.0,20181110020738.0,11077.0
22,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,1.0,20181110020741.0,21077.0
23,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,0.0,20181110020742.0,21077.0
24,,,2.0,-36.5,0.8695652173913043,36.5,0.8695652173913043,137.5,0.9090909090909091,137.5,0.8333333333333334,54.0,,2.0,2.0,6.0,17.0,1.0,7.0,2.0,4,0.0,0.0,25.0,58.3,19.0,47.0,0,1,18.0,22.0,1.0,20181110020759.0,21077.0
