,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,-21.5,0.0,21.5,0.0,,,,2,6,,17,15,,10,23,,2,3,,5,5,,71.4,82.1,50,71,0,1,2.0,59.0,0,20181110015849,11077
1,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,59.0,0,20181110015907.0,21077.0
2,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,59.0,1.0,20181110015912.0,21077.0
3,,,4.0,-21.5,0.0,21.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,58.0,1.0,20181110015913.0,11077.0
4,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,55.0,1.0,20181110015915.0,21077.0
5,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,45.0,1.0,20181110015924.0,21077.0
6,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,36.0,1.0,20181110015934.0,21077.0
7,,,4.0,-22.5,0.0,22.5,0.0,,,,2,6,,17,15,,10,23,,2,3,6.0,5,5,,71.4,82.1,50,71,0,1,2.0,32.0,0.0,20181110015939.0,21077.0
8,,,4.0,-22.5,0.0,22.5,0.0,,^,,2,6,,17,15,,10,23,,2,3,7.0,5,5,,71.4,82.1,50,71,0,1,2.0,32.0,0.0,20181110015944.0,11086^21077
9,,,4.0,-22.5,0.0,22.5,0.0,,1:2,,2,6,,17,15,,10,23,,2,3,7.0,5,5,,71.4,82.1,50,71,0,1,2.0,32.0,0.0,20181110015945.0,21078.0
10,,,4.0,-22.5,0.0,22.5,0.0,,1:2^2:2,,2,6,,17,15,24.0,10,23,,2,3,7.0,5,5,82.8,71.4,82.1,50,72,0,1,2.0,32.0,0.0,20181110020007.0,21079^21078
11,,,4.0,-23.5,0.0,23.5,0.0,,2:2^,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,32.0,0.0,20181110020030.0,21079^11077
12,,,4.0,-23.5,0.0,23.5,0.0,,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,32.0,1.0,20181110020031.0,11077.0
13,,,4.0,-23.5,0.0,23.5,0.0,,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,22.0,1.0,20181110020040.0,11077.0
14,,,4.0,-23.5,0.0,23.5,0.0,,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,13.0,1.0,20181110020049.0,11077.0
15,,,4.0,-23.5,0.0,23.5,0.0,,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,6.0,1.0,20181110020055.0,11095.0
16,,,4.0,-23.5,0.0,23.5,0.0,,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,6.0,1.0,20181110020056.0,11077.0
17,,,4.0,-23.5,0.0,23.5,0.0,1.0,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,1.0,59.0,1.0,20181110020102.0,11077.0
18,,,4.0,-23.5,0.0,23.5,0.0,1.0,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,1.0,57.0,0.0,20181110020104.0,11095.0
19,,,4.0,-22.5,0.0,22.5,0.0,1.0,,,2,6,,17,15,25.0,10,23,,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,1.0,47.0,0.0,20181110020113.0,11095.0
20,44.0,5.0,4.0,-23.5,0.0,23.5,0.0,6.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,7.0,0.0,20181110020117.0,11081.0
21,,,4.0,-23.5,0.0,23.5,0.0,6.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,7.0,0.0,20181110020250.0,11077.0
22,,,4.0,-23.5,0.0,23.5,0.0,6.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,7.0,1.0,20181110020252.0,11077.0
23,,,4.0,-24.5,0.0,24.5,0.0,6.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,2.0,6.0,1.0,20181110020253.0,21077.0
24,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,1.0,56.0,1.0,20181110020302.0,21077.0
25,,,4.0,-23.5,0.0,23.5,0.0,1.0,,,2,6,,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,73,0,1,1.0,47.0,1.0,20181110020311.0,21077.0
26,,,4.0,-24.5,0.0,24.5,0.0,1.0,^,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,41.0,1.0,20181110020317.0,21074^11077
27,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,41.0,1.0,20181110020318.0,11077.0
28,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,31.0,1.0,20181110020327.0,11077.0
29,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,22.0,1.0,20181110020336.0,11077.0
30,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,7.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,16.0,0.0,20181110020342.0,11077.0
31,,,4.0,-24.5,0.0,24.5,0.0,1.0,^,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,6.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,16.0,0.0,20181110020345.0,21086^11077
32,,,4.0,-24.5,0.0,24.5,0.0,1.0,1:2,,2,6,16.0,17,15,25.0,10,23,1.0,2,3,6.0,5,5,83.3,71.4,82.1,50,75,0,1,1.0,16.0,0.0,20181110020347.0,11078.0
33,,,4.0,-24.5,0.0,24.5,0.0,1.0,1:2^2:2,,2,6,16.0,17,15,11.0,10,23,1.0,2,3,6.0,5,5,73.3,71.4,82.1,51,75,0,1,1.0,16.0,0.0,20181110020417.0,11079^11078
34,,,4.0,-23.5,0.0,23.5,0.0,1.0,2:2^,,2,6,16.0,17,15,12.0,10,23,1.0,2,3,6.0,5,5,75.0,71.4,82.1,52,75,0,1,1.0,16.0,0.0,20181110020436.0,11079^21077
35,,,4.0,-23.5,0.0,23.5,0.0,1.0,,,2,6,16.0,17,15,12.0,10,23,1.0,2,3,6.0,5,5,75.0,71.4,82.1,52,75,0,1,1.0,16.0,1.0,20181110020437.0,21077.0
36,,,4.0,-23.5,0.0,23.5,0.0,1.0,,,2,6,16.0,17,15,12.0,10,23,1.0,2,3,6.0,5,5,75.0,71.4,82.1,52,75,0,1,1.0,8.0,0.0,20181110020444.0,21077.0
37,,,4.0,-23.5,0.0,23.5,0.0,1.0,^,,2,6,16.0,17,15,12.0,10,23,1.0,2,3,8.0,5,5,75.0,71.4,82.1,52,75,0,1,1.0,8.0,0.0,20181110020450.0,11086^21077
38,,,4.0,-24.5,0.0,24.5,0.0,1.0,1:2,,2,6,16.0,17,15,12.0,10,23,1.0,2,3,8.0,5,5,75.0,71.4,82.1,52,75,0,1,1.0,8.0,0.0,20181110020453.0,21078.0
39,,,4.0,-24.5,0.0,24.5,0.0,1.0,1:2^2:2,,2,6,16.0,17,15,26.0,10,23,1.0,2,3,8.0,5,5,83.9,71.4,82.1,52,76,0,1,1.0,8.0,0.0,20181110020510.0,21079^21078
40,,,4.0,-24.5,0.0,24.5,0.0,1.0,2:2^,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,1.0,8.0,0.0,20181110020520.0,21079^11077
41,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,1.0,8.0,1.0,20181110020521.0,11077.0
42,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,1.0,6.0,0.0,20181110020522.0,11077.0
43,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,1.0,6.0,1.0,20181110020524.0,11077.0
44,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,0.0,57.0,1.0,20181110020528.0,11077.0
45,,,4.0,-24.5,0.0,24.5,0.0,1.0,,,2,6,16.0,17,15,27.0,10,23,1.0,2,3,8.0,5,5,84.4,71.4,82.1,52,77,0,1,0.0,48.0,1.0,20181110020537.0,11077.0
