,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,10.0,0.0,0,20181110030517,01082
1,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,10.0,0.0,0,20181110030656.0,01082
2,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,^,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,10.0,0.0,1.0,20181110030656.0,01090^21077
3,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,^,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,51.0,1.0,20181110030704.0,01090^21077
4,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,158.5,1.0,158.5,0.7142857142857143,,^,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,49.0,1.0,20181110030708.0,01090^21077
5,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,40.0,1.0,20181110030715.0,11095.0
6,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,37.0,0.0,20181110030719.0,11077.0
7,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,37.0,0.0,20181110030720.0,11095.0
8,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,158.5,0.8333333333333334,158.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,0.0,63.6,85.7,76,45,0,1,9.0,39.0,0.0,20181110030723.0,11095.0
9,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,^,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,1.0,63.6,85.7,76,45,0,1,9.0,35.0,0.0,20181110030724.0,21086^11077
10,,,4.0,37.5,0.8333333333333334,-37.5,0.8333333333333334,159.5,0.8333333333333334,159.5,0.8333333333333334,,1:2,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,1.0,63.6,85.7,76,45,0,1,9.0,35.0,0.0,20181110030725.0,11078.0
11,,,4.0,37.5,0.7692307692307693,-37.5,0.9090909090909091,158.5,0.8333333333333334,158.5,0.8333333333333334,,1:2^2:2,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,1.0,58.3,85.7,76,45,0,1,9.0,35.0,0.0,20181110030738.0,11080^11078
12,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,2:2^,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,1.0,53.8,85.7,76,45,0,1,9.0,35.0,1.0,20181110030756.0,11080^21077
13,,,4.0,36.5,0.8333333333333334,-36.5,0.8333333333333334,157.5,0.8333333333333334,157.5,0.8333333333333334,,,,7.0,3.0,24.0,15.0,7.0,6.0,4,2.0,0.0,1.0,53.8,85.7,76,45,0,1,9.0,34.0,1.0,20181110030757.0,21077.0
