,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,143.5,0.8333333333333334,143.5,0.9090909090909091,,,9.0,6.0,10.0,15.0,2.0,10.0,3,4,1.0,1.0,100.0,76.9,49.0,58,0,1,9.0,20.0,0,20181110015850,21095,0.08333333333333333,7.25
1,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,143.5,0.8,143.5,0.9523809523809523,,^,9.0,6.0,10.0,15.0,2.0,10.0,3,4,2.0,1.0,100.0,76.9,49.0,58,0,1,9.0,18.0,0,20181110015858.0,11086^21077,0.08333333333333333,7.25
2,2.0,-9.5,0.8695652173913043,9.5,0.8695652173913043,144.5,0.8695652173913043,144.5,0.8695652173913043,,1:2,9.0,6.0,10.0,15.0,2.0,10.0,3,4,2.0,1.0,100.0,76.9,49.0,58,0,1,9.0,18.0,0,20181110015901.0,21078.0,0.08333333333333333,7.25
3,2.0,-9.5,0.8333333333333334,9.5,0.9090909090909091,144.5,0.9090909090909091,144.5,0.8333333333333334,,1:2^2:2,9.0,6.0,10.0,15.0,2.0,11.0,3,4,2.0,1.0,100.0,78.6,49.0,59,0,1,9.0,18.0,0,20181110015914.0,21079^21078,0.07142857142857142,8.25
4,2.0,-9.5,0.8,9.5,0.9523809523809523,144.5,0.9523809523809523,144.5,0.8,,1:2^2:2,9.0,6.0,10.0,15.0,2.0,11.0,3,4,2.0,1.0,100.0,78.6,49.0,60,0,1,9.0,18.0,0,20181110015931.0,21079^21078,0.0625,9.25
5,2.0,-9.5,0.8,9.5,0.9523809523809523,144.5,0.9523809523809523,144.5,0.8,,2:2^,9.0,6.0,10.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,49.0,60,0,1,9.0,18.0,0,20181110015931.0,21079^11077,0.0625,9.25
6,2.0,-9.5,0.8,9.5,0.9523809523809523,144.5,0.9523809523809523,144.5,0.8,,2:2^,9.0,6.0,10.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,49.0,60,0,1,9.0,18.0,1.0,20181110015935.0,21079^11077,0.0625,9.25
7,2.0,-9.5,0.8,9.5,0.9523809523809523,144.5,0.8333333333333334,144.5,0.9090909090909091,,2:2^,9.0,6.0,10.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,49.0,60,0,1,9.0,8.0,1.0,20181110015944.0,21079^11077,0.0625,9.25
8,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,146.5,0.9090909090909091,146.5,0.8333333333333334,,^,9.0,6.0,11.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,51.0,60,0,1,9.0,4.0,1.0,20181110015948.0,11074^21077,0.08333333333333333,7.25
9,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,146.5,0.9090909090909091,146.5,0.8333333333333334,,,9.0,6.0,11.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,51.0,60,0,1,9.0,4.0,1.0,20181110015949.0,21077.0,0.08333333333333333,7.25
10,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8695652173913043,,,9.0,6.0,11.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,51.0,60,0,1,9.0,3.0,0.0,20181110015949.0,21077.0,0.08333333333333333,7.25
11,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,146.5,0.8695652173913043,146.5,0.8695652173913043,,,9.0,6.0,11.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,51.0,60,0,1,9.0,3.0,1.0,20181110015951.0,21077.0,0.08333333333333333,7.25
12,2.0,-9.5,0.9090909090909091,9.5,0.8333333333333334,146.5,0.8,146.5,0.9523809523809523,,,9.0,6.0,11.0,15.0,2.0,12.0,3,4,2.0,1.0,100.0,80.0,51.0,60,0,1,8.0,54.0,1.0,20181110015959.0,21077.0,0.08333333333333333,7.25
