,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,151.5,0.8333333333333334,151.5,0.9090909090909091,,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,20.0,0.0,0,20181110014835,01083,0.0125,16.5
1,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,151.5,0.8333333333333334,151.5,0.9090909090909091,,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,20.0,0.0,0,20181110020431.0,01083,0.0125,16.5
2,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,151.5,0.8333333333333334,151.5,0.9090909090909091,68.0,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,20.0,0.0,1.0,20181110020432.0,21077.0,0.0125,16.5
3,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,150.5,0.9090909090909091,150.5,0.8333333333333334,68.0,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,19.0,54.0,1.0,20181110020437.0,21077.0,0.0125,16.5
4,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,150.5,0.8695652173913043,150.5,0.8695652173913043,67.0,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,19.0,53.0,1.0,20181110020438.0,21077.0,0.0125,16.5
5,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,150.5,0.8695652173913043,150.5,0.8695652173913043,67.0,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,19.0,52.0,1.0,20181110020439.0,21077.0,0.0125,16.5
6,,,2.0,-18.5,0.8333333333333334,18.5,0.9090909090909091,149.5,0.9090909090909091,149.5,0.8333333333333334,67.0,,,2,5.0,9.0,12.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,43.0,0,1,19.0,43.0,1.0,20181110020448.0,21077.0,0.0125,16.5
7,,,2.0,-20.5,0.8695652173913043,20.5,0.8695652173913043,151.5,0.9090909090909091,151.5,0.8333333333333334,67.0,^,,2,5.0,9.0,13.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,45.0,0,1,19.0,40.0,1.0,20181110020452.0,21074^11077,0.01,17.0
8,,,2.0,-20.5,0.8695652173913043,20.5,0.8695652173913043,151.5,0.9090909090909091,151.5,0.8333333333333334,67.0,,,2,5.0,9.0,13.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,45.0,0,1,19.0,40.0,1.0,20181110020453.0,11077.0,0.01,17.0
9,,,2.0,-20.5,0.8695652173913043,20.5,0.8695652173913043,151.5,0.8695652173913043,151.5,0.8695652173913043,67.0,,,2,5.0,9.0,13.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,45.0,0,1,19.0,31.0,1.0,20181110020501.0,11077.0,0.01,17.0
10,,,2.0,-20.5,0.9090909090909091,20.5,0.8333333333333334,150.5,0.8695652173913043,150.5,0.8695652173913043,67.0,,,2,5.0,9.0,13.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,45.0,0,1,19.0,22.0,1.0,20181110020510.0,11077.0,0.01,17.0
11,,,2.0,-20.5,0.9090909090909091,20.5,0.8333333333333334,150.5,0.8333333333333334,150.5,0.9090909090909091,66.0,,,2,5.0,9.0,13.0,4.0,4.0,4.0,4,0.0,0.0,66.7,100.0,28.0,45.0,0,1,19.0,18.0,0.0,20181110020514.0,11077.0,0.01,17.0
