,ED,HASA,HASA_ODD,HASH,HASH_ODD,LM,PG,S1,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,4.0,-20.5,0.0,20.5,0.0,,,,7,6,,26,39,,19,17,2,2,,2,7,,76.0,81.0,92,113,0,1,2.0,14.0,0,20181111034010,11079^11078
1,4.0,-20.5,0.0,20.5,0.0,,2:2^,,7,6,,26,39,20.0,19,17,2,2,,2,7,76.9,76.0,81.0,93,113,0,1,2.0,14.0,0,20181111034023.0,11079^21077
2,4.0,-20.5,0.0,20.5,0.0,,,,7,6,,26,39,20.0,19,17,2,2,,2,7,76.9,76.0,81.0,93,113,0,1,2.0,14.0,0,20181111034025.0,21077.0
3,4.0,-20.5,0.0,20.5,0.0,,,,7,6,,26,39,20.0,19,17,2,2,,2,7,76.9,76.0,81.0,93,113,0,1,2.0,14.0,1.0,20181111034027.0,21077.0
4,4.0,-20.5,0.0,20.5,0.0,,,,7,6,,26,39,20.0,19,17,2,2,,2,7,76.9,76.0,81.0,93,113,0,1,2.0,4.0,1.0,20181111034036.0,21077.0
5,4.0,-20.5,0.0,20.5,0.0,,^,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,2.0,4.0,0.0,20181111034038.0,11086^21077
6,4.0,-20.5,0.0,20.5,0.0,,^,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,2.0,0.0,0.0,20181111034041.0,11086^21077
7,4.0,-20.5,0.0,20.5,0.0,,^,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,2.0,8.0,1.0,20181111034050.0,11086^21077
8,4.0,-20.5,0.0,20.5,0.0,,^,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,2.0,6.0,1.0,20181111034051.0,11086^21077
9,4.0,-20.5,0.0,20.5,0.0,1.0,^,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,1.0,57.0,1.0,20181111034100.0,11086^21077
10,4.0,-19.5,0.0,19.5,0.0,1.0,,,7,6,,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,93,113,0,1,1.0,57.0,1.0,20181111034101.0,11077.0
11,4.0,-18.5,0.0,18.5,0.0,1.0,^,,7,6,27.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,95,113,0,1,1.0,52.0,1.0,20181111034105.0,11074^21077
12,4.0,-18.5,0.0,18.5,0.0,1.0,,,7,6,27.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,95,113,0,1,1.0,52.0,1.0,20181111034106.0,21077.0
13,4.0,-17.5,0.0,17.5,0.0,1.0,,,7,6,27.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,95,113,0,1,1.0,46.0,1.0,20181111034111.0,11077.0
14,4.0,-17.5,0.0,17.5,0.0,1.0,,,7,6,27.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,95,113,0,1,1.0,36.0,1.0,20181111034121.0,11077.0
15,4.0,-16.5,0.0,16.5,0.0,1.0,^,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,97,113,0,1,1.0,31.0,1.0,20181111034127.0,11074^21077
16,4.0,-15.5,0.0,15.5,0.0,1.0,^,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,97,113,0,1,1.0,26.0,0.0,20181111034132.0,21086^11077
17,4.0,-15.5,0.0,15.5,0.0,1.0,1:1,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,97,113,0,1,1.0,26.0,0.0,20181111034133.0,11078.0
18,4.0,-15.5,0.0,15.5,0.0,1.0,1:1,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,76.9,76.0,81.0,97,113,0,1,1.0,18.0,0.0,20181111034138.0,11078.0
19,4.0,-16.5,0.0,16.5,0.0,1.0,1:1^,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,34.0,1.0,20181111034147.0,11080^21077
20,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,34.0,1.0,20181111034148.0,21077.0
21,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,24.0,1.0,20181111034157.0,21077.0
22,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,18.0,1.0,20181111034202.0,21095.0
23,4.0,-15.5,0.0,15.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,18.0,1.0,20181111034203.0,11077.0
24,4.0,-15.5,0.0,15.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,9.0,1.0,20181111034212.0,11095.0
25,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,9.0,1.0,20181111034213.0,21077.0
26,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,1.0,7.0,1.0,20181111034214.0,21077.0
27,4.0,-16.5,0.0,16.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,58.0,1.0,20181111034223.0,21077.0
28,4.0,-15.5,0.0,15.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,57.0,1.0,20181111034224.0,11077.0
29,4.0,-15.5,0.0,15.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,47.0,1.0,20181111034233.0,11077.0
30,4.0,-15.5,0.0,15.5,0.0,1.0,,,7,6,28.0,26,39,20.0,19,17,2,2,3.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,38.0,1.0,20181111034242.0,11077.0
31,4.0,-15.5,0.0,15.5,0.0,1.0,^,,7,6,28.0,26,39,20.0,19,17,2,2,8.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,31.0,0.0,20181111034250.0,21086^11077
32,4.0,-14.5,0.0,14.5,0.0,1.0,1:2,,7,6,28.0,26,39,20.0,19,17,2,2,8.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,31.0,0.0,20181111034251.0,11078.0
33,4.0,-14.5,0.0,14.5,0.0,2.0,1:2,,7,6,28.0,26,39,20.0,19,17,2,2,8.0,2,7,74.1,76.0,81.0,97,113,0,1,0.0,26.0,0.0,20181111034255.0,11078.0
34,4.0,-14.5,0.0,14.5,0.0,1.0,1:2^2:2,,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,75.0,76.0,81.0,98,113,0,1,0.0,36.0,0.0,20181111034305.0,11079^11078
35,4.0,-15.5,0.0,15.5,0.0,1.0,1:2^2:2,,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,75.0,76.0,81.0,98,113,0,1,0.0,36.0,1.0,20181111034321.0,11079^11078
36,4.0,-15.5,0.0,15.5,0.0,1.0,2:2^,,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,113,0,1,0.0,36.0,1.0,20181111034321.0,11080^21077
37,4.0,-15.5,0.0,15.5,0.0,1.0,2:2^,,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,113,0,1,0.0,34.0,1.0,20181111034323.0,21077.0
38,4.0,-15.5,0.0,15.5,0.0,2.0,2:2^,,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,113,0,1,0.0,24.0,1.0,20181111034332.0,21077.0
39,4.0,-17.5,0.0,17.5,0.0,2.0,^,7.0,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,116,0,1,0.0,20.0,1.0,20181111034336.0,21075^11077
40,4.0,-17.5,0.0,17.5,0.0,2.0,^,7.0,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,116,0,1,0.0,20.0,1.0,20181111034337.0,21075^11077
41,4.0,-17.5,0.0,17.5,0.0,2.0,,7.0,7,6,28.0,26,39,21.0,19,17,2,2,8.0,2,7,72.4,76.0,81.0,98,116,0,1,0.0,10.0,1.0,20181111034346.0,11077.0
