,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,-3.5,1.0,3.5,0.7692307692307693,189.5,1.0,189.5,0.7692307692307693,,,9,11.0,17.0,18.0,19.0,13.0,3,1.0,7.0,1,70.4,76.5,80,84,0,1,4.0,59.0,0,20181111033819,21081,0.4,2.05
1,,,4.0,-3.5,1.0,3.5,0.7692307692307693,189.5,1.0,189.5,0.7692307692307693,,,9,11.0,17.0,18.0,19.0,13.0,3,1.0,7.0,1,70.4,76.5,80,84,0,1,4.0,59.0,0,20181111034124.0,11077.0,0.4,2.05
2,,,4.0,-2.5,0.8333333333333334,2.5,0.9090909090909091,189.5,0.8333333333333334,189.5,0.9090909090909091,,2:2^,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,59.0,0,20181111034129.0,11079^21077,0.4444444444444444,1.8
3,,,4.0,-2.5,0.8333333333333334,2.5,0.9090909090909091,189.5,0.8333333333333334,189.5,0.9090909090909091,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,59.0,0,20181111034131.0,21077.0,0.4444444444444444,1.8
4,,,4.0,-2.5,0.8333333333333334,2.5,0.9090909090909091,189.5,0.8333333333333334,189.5,0.9090909090909091,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,59.0,1.0,20181111034139.0,21077.0,0.4444444444444444,1.8
5,,,4.0,-2.5,0.8333333333333334,2.5,0.9090909090909091,189.5,0.8333333333333334,189.5,0.9090909090909091,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,58.0,1.0,20181111034140.0,21077.0,0.4444444444444444,1.8
6,,,4.0,-2.5,0.8333333333333334,2.5,0.9090909090909091,188.5,0.9090909090909091,188.5,0.8333333333333334,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,49.0,1.0,20181111034148.0,21077.0,0.43478260869565216,1.85
7,,,4.0,-2.5,0.8,2.5,0.9523809523809523,188.5,0.7692307692307693,188.5,1.0,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,84,0,1,4.0,41.0,1.0,20181111034157.0,21077.0,0.425531914893617,1.9
8,,,4.0,-4.5,0.9523809523809523,4.5,0.8,190.5,0.8695652173913043,190.5,0.8695652173913043,,,9,11.0,17.0,18.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,86,0,1,4.0,41.0,1.0,20181111034157.0,21077.0,0.2564102564102564,3.0
9,,,4.0,-4.5,0.9523809523809523,4.5,0.8,190.5,0.8695652173913043,190.5,0.8695652173913043,,^,9,11.0,17.0,19.0,20.0,13.0,3,1.0,7.0,1,71.4,76.5,81,86,0,1,4.0,41.0,1.0,20181111034157.0,21074^11077,0.2564102564102564,3.0
