,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,4.0,1.5,0.8,-1.5,0.8695652173913043,186.5,0.8333333333333334,186.5,0.8333333333333334,,,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,1.0,87.5,70.0,70,72.0,0,1,9.0,46.0,1,20181111034006,11077,1.0,0.7142857142857143
1,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,1.0,87.5,70.0,70,72.0,0,1,9.0,37.0,1,20181111034014.0,11077,1.0,0.7142857142857143
2,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,1.0,87.5,70.0,70,72.0,0,1,9.0,33.0,0.0,20181111034019.0,11077,1.0,0.7142857142857143
3,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,^,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,33.0,0.0,20181111034026.0,21086^11077,1.0,0.7142857142857143
4,,,4.0,1.5,0.8333333333333334,-1.5,0.8333333333333334,185.5,0.8333333333333334,185.5,0.8333333333333334,,1:1,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,33.0,0.0,20181111034027.0,11078.0,1.1,0.6666666666666666
5,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,1:1,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,33.0,0.0,20181111034032.0,11078.0,1.0,0.7142857142857143
6,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,1:1,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,33.0,1.0,20181111034034.0,11078.0,1.0,0.7142857142857143
7,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,1:1,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,32.0,1.0,20181111034034.0,11078.0,1.0,0.7142857142857143
8,,,4.0,1.5,0.8,-1.5,0.8695652173913043,185.5,0.8333333333333334,185.5,0.8333333333333334,,,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,32.0,1.0,20181111034035.0,11077.0,1.0,0.7142857142857143
9,,,4.0,1.5,0.8,-1.5,0.8695652173913043,184.5,0.8333333333333334,184.5,0.8333333333333334,,,,11.0,10.0,15.0,16.0,7.0,7.0,3.0,3,0.0,2.0,87.5,70.0,70,72.0,0,1,9.0,23.0,1.0,20181111034043.0,11077.0,1.0,0.7142857142857143
