,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,MD,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,4.5,0.9523809523809523,-4.5,0.8,233.5,0.9090909090909091,233.5,0.8333333333333334,,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,24.0,0,20181113021108,11081,2.35,0.3225806451612903
1,,,3.0,4.5,0.9523809523809523,-4.5,0.8,234.5,0.8695652173913043,234.5,0.8695652173913043,,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,24.0,0,20181113021108,11081,2.0,0.40816326530612246
2,,,3.0,4.5,0.9523809523809523,-4.5,0.8,234.5,0.8695652173913043,234.5,0.8695652173913043,,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,24.0,0,20181113021406.0,11077.0,2.0,0.40816326530612246
3,,,3.0,4.5,0.9523809523809523,-4.5,0.8,234.5,0.8695652173913043,234.5,0.8695652173913043,,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,24.0,1.0,20181113021407.0,11077.0,2.0,0.40816326530612246
4,,,3.0,4.5,0.9523809523809523,-4.5,0.8,234.5,0.8695652173913043,234.5,0.8695652173913043,68.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,14.0,1.0,20181113021416.0,11094.0,2.0,0.40816326530612246
5,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8695652173913043,234.5,0.8695652173913043,68.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,14.0,1.0,20181113021417.0,21077.0,2.0,0.40816326530612246
6,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8695652173913043,234.5,0.8695652173913043,68.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,12.0,1.0,20181113021418.0,21077.0,2.0,0.40816326530612246
7,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8695652173913043,234.5,0.8695652173913043,69.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,7.0,1.0,20181113021424.0,21077.0,2.15,0.37037037037037035
8,,,3.0,4.5,0.8,-4.5,0.9523809523809523,234.5,0.8333333333333334,234.5,0.9090909090909091,69.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,5.0,1.0,20181113021425.0,21094.0,2.15,0.37037037037037035
9,,,3.0,5.5,0.8,-5.5,0.9523809523809523,234.5,0.8,234.5,0.9523809523809523,69.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,2.0,5.0,1.0,20181113021426.0,11077.0,2.5,0.30303030303030304
10,,,3.0,5.5,0.8,-5.5,0.9523809523809523,231.5,0.8695652173913043,231.5,0.8695652173913043,78.0,,,,6.0,9.0,32.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,88.0,77.0,0,1,1.0,59.0,1.0,20181113021432.0,11077.0,2.2,0.35714285714285715
11,,,3.0,6.5,0.8,-6.5,0.9523809523809523,233.5,0.8333333333333334,233.5,0.9090909090909091,79.0,,^,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,56.0,1.0,20181113021435.0,11074^21077,2.2,0.35714285714285715
12,,,3.0,6.5,0.8,-6.5,0.9523809523809523,233.5,0.8333333333333334,233.5,0.9090909090909091,79.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,56.0,1.0,20181113021436.0,21077.0,2.2,0.35714285714285715
13,,,3.0,6.5,0.8,-6.5,0.9523809523809523,232.5,0.9090909090909091,232.5,0.8333333333333334,78.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,49.0,1.0,20181113021443.0,21077.0,2.4,0.3125
14,,,3.0,6.5,0.8333333333333334,-6.5,0.9090909090909091,232.5,0.8333333333333334,232.5,0.9090909090909091,79.0,,,,6.0,9.0,33.0,18.0,3.0,14.0,3.0,3.0,1.0,3.0,50.0,93.3,90.0,77.0,0,1,1.0,43.0,0.0,20181113021447.0,21077.0,2.4,0.3125
