,ED,LM,PG,PI,S1_a,S1_h,S2,S2_a,S2_h,S3,S3_a,S3_h,S4_a,S4_h,S5,S5_a,S5_h,S6,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC
0,,,,,6,7,,24,20,,2,15,2,4,,5,4,,66.7,71.4,68,76,0,1,0,21.0,0,20181113021107,21077
1,,,,,6,7,,24,20,,2,15,2,4,,5,4,,66.7,71.4,68,76,0,1,0,11.0,0,20181113021126.0,21077
2,,2.0,^,1.0,6,7,,24,20,,2,15,2,4,6.0,5,4,,66.7,71.4,68,76,0,1,0,31.0,0,20181113021134.0,11086^21077
3,,3.0,1:2,1.0,6,7,,24,20,,2,15,2,4,6.0,5,4,,66.7,71.4,68,76,0,1,0,31.0,0,20181113021141.0,21078.0
4,,1.0,1:2^2:2,1.0,6,7,,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,68,77,0,1,0,31.0,0,20181113021148.0,21079^21078
5,,1.0,,1.0,6,7,,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,68,77,0,1,0,31.0,1.0,20181113021200.0,11077.0
6,,1.0,,1.0,6,7,,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,68,77,0,1,0,24.0,0.0,20181113021206.0,11077.0
7,,1.0,^,1.0,6,7,25.0,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,70,78,0,1,0,24.0,0.0,20181113021215.0,11074^21077
8,,2.0,,1.0,6,7,25.0,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,70,78,0,1,0,32.0,0.0,20181113021239.0,21077.0
9,,1.0,,1.0,6,7,25.0,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,70,78,0,1,0,16.0,1.0,20181113021252.0,21077.0
10,,1.0,,1.0,6,7,25.0,24,20,16.0,2,15,2,4,6.0,5,4,72.7,66.7,71.4,70,78,0,1,0,12.0,0.0,20181113021256.0,21077.0
11,,1.0,^,1.0,6,7,25.0,24,20,16.0,2,15,2,4,7.0,5,4,72.7,66.7,71.4,70,78,0,1,0,12.0,0.0,20181113021306.0,11086^21077
12,,1.0,1:2,1.0,6,7,25.0,24,20,16.0,2,15,2,4,7.0,5,4,72.7,66.7,71.4,70,78,0,1,0,12.0,0.0,20181113021313.0,21078.0
13,,1.0,1:2^2:2,1.0,6,7,25.0,24,20,18.0,2,15,2,4,7.0,5,4,75.0,66.7,71.4,70,79,0,1,0,12.0,0.0,20181113021321.0,21079^21078
14,,1.0,2:2^,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,12.0,0.0,20181113021335.0,21079^11077
15,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,12.0,1.0,20181113021336.0,11077.0
16,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,3.0,1.0,20181113021344.0,11077.0
17,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,1.0,0.0,20181113021347.0,11077.0
18,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,1.0,1.0,20181113021352.0,11077.0
19,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,0.0,0.0,20181113021354.0,11077.0
20,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,0.0,0.0,20181113021403.0,11077.0
21,,1.0,,1.0,6,7,25.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,70,80,0,1,0,0.0,0.0,20181113021459.0,11077.0
22,,1.0,^,1.0,6,7,26.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,72,80,0,1,0,0.0,0.0,20181113021605.0,11074^21077
23,,1.0,,1.0,6,7,26.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,72,80,0,1,0,0.0,0.0,20181113021605.0,1084.0
24,,1.0,,1.0,6,7,26.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,72,80,0,1,0,0.0,0.0,20181113021618.0,1084.0
25,,1.0,,1.0,6,7,26.0,24,20,19.0,2,15,2,4,7.0,5,4,76.0,66.7,71.4,72,80,0,1,0,0.0,0.0,20181113021618.0,1084.0
