,AM,AS,ED,HASA,HASA_ODD,HASH,HASH_ODD,HATD,HATD_ODD,HATU,HATU_ODD,LM,PG,PI,S1_a,S1_h,S2_a,S2_h,S3_a,S3_h,S4_a,S4_h,S5_a,S5_h,S6_a,S6_h,SC_a,SC_h,SU,TD,TM,TS,TT,TU,VC,WA_ODD,WH_ODD
0,,,3.0,1.5,0.8,-1.5,0.9523809523809523,186.5,0.8695652173913043,186.5,0.8695652173913043,,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,0.0,0.0,80.0,75.0,40.0,43.0,0,1,12.0,0.0,0,20181113020455,01083,0.9523809523809523,0.8
1,,,3.0,1.5,0.8,-1.5,0.9523809523809523,186.5,0.8695652173913043,186.5,0.8695652173913043,,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,0.0,0.0,80.0,75.0,40.0,43.0,0,1,12.0,0.0,0,20181113022017.0,01083,0.9523809523809523,0.8
2,,,3.0,1.5,0.8,-1.5,0.9523809523809523,186.5,0.8695652173913043,186.5,0.8695652173913043,88.0,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,0.0,0.0,80.0,75.0,40.0,43.0,0,1,12.0,0.0,1.0,20181113022018.0,21077.0,0.9523809523809523,0.8
3,,,3.0,1.5,0.8,-1.5,0.9523809523809523,186.5,0.8333333333333334,186.5,0.9090909090909091,88.0,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,0.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,51.0,1.0,20181113022027.0,21077.0,0.9523809523809523,0.8
4,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.9090909090909091,185.5,0.8333333333333334,87.0,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,0.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,50.0,0.0,20181113022028.0,21077.0,0.9523809523809523,0.8
5,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.9090909090909091,185.5,0.8333333333333334,87.0,^,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,1.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,50.0,0.0,20181113022036.0,11086^21077,0.9523809523809523,0.8
6,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.9090909090909091,185.5,0.8333333333333334,87.0,^,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,1.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,50.0,1.0,20181113022053.0,11086^21077,0.9523809523809523,0.8
7,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.8695652173913043,185.5,0.8695652173913043,88.0,^,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,1.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,47.0,0.0,20181113022056.0,11086^21077,0.9523809523809523,0.8
8,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.8695652173913043,185.5,0.8695652173913043,88.0,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,1.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,47.0,0.0,20181113022058.0,11077.0,0.9523809523809523,0.8
9,,,3.0,1.5,0.8,-1.5,0.9523809523809523,185.5,0.8695652173913043,185.5,0.8695652173913043,88.0,,,4.0,2.0,10.0,14.0,8.0,9.0,4.0,4.0,1.0,0.0,80.0,75.0,40.0,43.0,0,1,11.0,47.0,1.0,20181113022108.0,11077.0,0.9523809523809523,0.8
